 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,195,Student Teaching Lab,92969,A,B,M,6,1,TBA,,       ,,,Currier,1 to 3
AGBI,201,General Biochemistry,91148,A,L,M,130,100,18:00,20:00, T      ,ROWELL,103,Currier,3
AGBI,202,General Biochemistry Lab,91150,A,B,M,14,10,08:00,11:00,M       ,HILLS,128,Currier,1
AGBI,202,General Biochemistry Lab,91154,B,B,M,14,13,13:25,16:25,M       ,HILLS,128,Currier,1
AGBI,202,General Biochemistry Lab,91155,C,B,M,14,13,08:00,11:00, T      ,HILLS,128,Currier,1
AGBI,202,General Biochemistry Lab,91157,D,B,M,14,7,12:30,15:30, T      ,HILLS,128,Currier,1
AGBI,202,General Biochemistry Lab,91159,E,B,M,14,14,08:00,11:00,  W     ,HILLS,128,Currier,1
AGBI,202,General Biochemistry Lab,91160,F,B,M,14,12,13:25,16:25,  W     ,HILLS,128,Currier,1
AGBI,202,General Biochemistry Lab,91240,G,B,M,14,8,08:00,11:00,   R    ,HILLS,128,Currier,1
AIS,091,TAP: Today's Russia,90348,A,L,M,17,16,12:20,13:10,M  W  F   ,WATERM,455,Nalibow,3
AIS,095,Glimpses of Chinese Culture I,90451,A,L,M,45,24,19:30,20:20,  W     ,L/L CM,315,Yin,1
AIS,095,Global Village,92590,B,L,M,120,64,TBA,,       ,,,Mahoney,1
AIS,095,Intro to African Lit & Culture,92606,Z1,L,C,22,6,17:15,18:30,M  W     ,L/L-B,B102,Jeso,3
AIS,095,Glimpses of Chinese Culture I,92982,Z2,L,C,5,1,19:30,20:20,  W     ,L/L CM,315,Yin,1
AIS,191,Internships,92585,A,I,M,15,0,TBA,,       ,,,McKenna,1 to 6
AIS,197,Readings & Research,92583,A,T,M,15,1,TBA,,       ,,,McKenna,1 to 3
AIS,297,Advanced Readings & Research,92584,A,T,M,15,0,TBA,,       ,,,McKenna,1 to 6
ALAN,051,D1:Intr ALANA US Ethnic Stdies,91292,A,L,M,35,35,13:25,14:15,M  W  F   ,WILLMS,402,Gilley,3
ALAN,195,D1:Race and Ethnicity,92785,Z1,L,C,25,11,17:30,20:30,  W     ,DEWEY,212,Nelson,3  
ANFS,395,Doctoral Seminar,92898,A,L,M,20,8,12:20,13:10,    F   ,TERRIL,222,Kerr,1
ANFS,395,Research Methods,92899,B,L,M,20,0,13:00,17:00,M       ,,,Staff,3
ANFS,491,Doctoral Dissertation,90758,A,T,M,20,8,TBA,,       ,,,Harvey-Ber,1 to 18
