 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,195,Special Topics,92188,A,B,M,0,0,TBA,,       ,HILLS,,Staff,1 to 3
AGBI,195,Student Teaching Lab,92189,B,L,M,0,1,TBA,,       ,HILLS,128,Staff,1 to 3
AGBI,198,Undergraduate Research,92190,A,B,M,0,2,TBA,,       ,HILLS,,Barrington,1 to 3
AGBI,201,General Biochemistry,92191,A,L,M,102,120,11:15,12:05,M  W  F   ,WILLMS,301,Weller,3  
AGBI,202,General Biochemistry Lab,92192,A1,B,M,12,12,13:25,16:15,M       ,HILLS,128,Baribault,1  
AGBI,202,General Biochemistry Lab,92193,B1,B,M,12,12,08:00,11:00, T      ,HILLS,128,Baribault,1  
AGBI,202,General Biochemistry Lab,92194,C1,B,M,12,12,13:25,16:15,  W     ,HILLS,128,Baribault,1  
AGBI,202,General Biochemistry Lab,92195,D1,B,M,12,10,08:00,11:00,   R    ,HILLS,128,Baribault,1  
AGBI,202,General Biochemistry Lab,92196,E1,B,M,12,12,13:25,16:15,   R    ,HILLS,128,Baribault,1  
AGBI,202,General Biochemistry Lab,92197,F1,B,M,12,11,13:25,16:15,    F   ,HILLS,128,Baribault,1  
AGBI,202,General Biochemistry Lab,92587,G1,B,M,12,8,17:30,20:20, T      ,HILLS,128,Baribault,1  
AGBI,220,Molecular Biology,92198,A,L,M,30,4,10:10,11:00,M  W  F   ,ROWELL,110,Currier,3  
AGBI,221,Molecular Biology Lab,92199,A,B,M,30,4,13:25,16:15,M       ,HILLS,133,Weller,1  
AGBI,250,Plant Biochemistry,92248,A,L,M,999,1,08:00,09:15, T  R    ,AIKEN,116,Currier,2  
AGBI,295,Special Topics,92200,A,B,M,10,5,TBA,,       ,HILLS,133,Baribault,1 to 12
AGBI,301,Special Problems,92201,A,B,M,5,0,TBA,,       ,HILLS,,Staff,1 to 3
AGBI,381,Biochemistry Seminar,92202,A,L,M,5,1,TBA,,       ,HILLS,100,Barrington,1  
AGBI,391,Master's Thesis Research,92203,A,T,M,5,0,TBA,,       ,HILLS,,Staff,1 to 18
AGBI,491,Doctoral Dissertation Research,92204,A,T,M,5,1,TBA,,       ,HILLS,,Staff,1 to 12
AGRI,095,Introductory Special Topics,90487,A,L,M,10,4,07:45,09:15, T  R    ,WATERM,401,Staff,1 to 3
AGRI,095,Introductory Special Topics,90489,B,L,M,10,10,15:30,17:00, T  R    ,120UHT,100,Murphy,1 to 3
AGRI,095,Introductory Special Topics,90492,C,L,M,10,8,17:00,18:30, T  R    ,TORREY,201,Allen,1 to 3
AGRI,095,Introductory Special Topics,90493,D,L,M,10,8,15:35,17:05,M  W     ,120UHT,107,Burrell,1 to 3
AGRI,095,Introductory Special Topics,90496,E,L,M,10,8,16:40,18:10,M  W     ,120UHT,100,Silverman,1 to 3
AGRI,095,Introductory Special Topics,90498,F,L,M,10,8,15:30,18:30, T      ,ROWELL,244,Lachapelle,1 to 3
AGRI,095,Introductory Special Topics,90502,G,L,M,10,10,17:00,20:00, T      ,120UHT,100,Sandoval,1 to 3
AGRI,095,Introductory Special Topics,90503,H,L,M,10,9,16:40,19:40,  W     ,120UHT,108,Staff,1 to 3
AGRI,095,Introductory Special Topics,90505,I,L,M,10,8,17:00,20:00,  W     ,81 UHT,106,Lawrence,1 to 3
AGRI,095,Introductory Special Topics,90507,J,L,M,10,10,11:00,12:30, T  R    ,L/L-A,A161,Staff,1 to 3
AGRI,095,Introductory Special Topics,90512,K,L,M,10,8,07:45,09:15, T  R    ,TERRIL,222,Brauer,1 to 3
