 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,201,General Biochemistry,60242,Z1,L,C,25,19,09:00,12:00,M T  R F   ,HILLS,234,Currier,3  
AGBI,202,General Biochemistry Lab,60495,Z1,B,C,14,8,13:00,16:00, T  R    ,HILLS,128,Jurkiewicz,1  
AIS,095,SL:Cultural Exch Trip to Japan,60413,JP1,L,C,7,5,TBA,,       ,,,Suzuki,3
AIS,095,Terrorism: S Asian Perspective,60342,OL1,L,C,25,13,TBA,,       ,,,Ali,2
AIS,095,Chow Healing QiGong,60667,WD,L,C,1,1,TBA,,       ,,,,1
AIS,095,Mafia&Capitalism-Russian Style,60021,Z1,L,C,20,13,09:00,12:45, T  R    ,WATERM,400,McKenna,3
AIS,095,Chow Healing QiGong,60507,Z2,L,C,5,5,18:00,22:00,    F   ,L/L CM,315,Poy Yew Ch,1
AIS,095,4 Windows/4 Ventanas: Comt Geo,60416,Z3,L,C,20,0,09:00,12:45, T  R    ,LAFAYE,L200,Shear,3
AIS,195,Holocaust&Holocaust Education,60419,Z2,L,C,25,2,08:00,16:30,M T W R F   ,VOTEY,207,Bernheim,3
ANNB,301,Medical Gross Anatomy,60073,Z1,L,C,30,16,09:00,17:00,M T W R F   ,GIVN E,E210,Ezerman,8
ANNB,302,Neuroscience,60077,Z1,L,C,50,24,09:00,17:00,M T W R F   ,ROWELL,103,Parsons,4
ANNB,491,Doctoral Dissertation Research,60614,A,T,M,10,6,TBA,,       ,,,Nishi,1 to 18
ANTH,021,Human Cultures,60067,Z1,L,C,35,3,16:00,18:00,M T W R    ,KALKIN,110,Gordon,3  
ANTH,021,Human Cultures,60068,Z2,L,C,25,10,09:00,11:00,M T W R    ,LAFAYE,L302,Roy,3  
ANTH,095,Business Anthropology,60070,OL1,L,C,20,14,TBA,,       ,,,Dickinson,3
ANTH,095,Anthropology/Environmt Justice,60151,Z2,L,C,25,2,09:00,11:00,M T W R    ,VOTEY,207,Roy,3
ANTH,096,Anthroplology at Work,60451,OL1,L,C,20,4,TBA,,       ,,,Dickinson,1
ANTH,140,Primates and Anthropology,60152,Z1,L,C,15,9,13:30,17:15, T  R    ,LAFAYE,L311,Blom,3  
ANTH,195,ANthropology/Environmt Justice,60238,Z2,L,C,25,3,09:00,11:00,M T W R    ,VOTEY,207,Roy,3
ANTH,197,Readings & Research,60542,Z1,T,C,1,1,TBA,,       ,,,Crock,1 to 6
ANTH,298,Advanced Readings & Research,60499,Z1,T,C,5,1,TBA,,       ,,,Blom,1 to 3
ART,001,Drawing,60161,Z1,O,C,27,9,09:00,14:00, T  R    ,WILLMS,416,Warren,3  
ART,002,Two-Dimensional Studies,60162,Z1,O,C,18,4,09:00,12:00,M T W R F   ,WILLMS,305,Fry,3  
ART,003,Three-Dimensional Studies,60292,Z1,O,C,15,7,16:00,19:00,M T W R F   ,WILLMS,207,Haggart,3  
ART,005,Western Art:Ancient - Medieval,60163,Z1,L,C,25,7,17:00,20:30,M T W R    ,LAFAYE,L108,Mierse,3  
ART,095,Jewelry Perspectives,60234,Z1,A,C,14,8,09:00,13:00,M T W R F   ,WILLMS,202,Peters,3
ART,095,Jewlery Perspectives,60595,Z2,O,C,13,8,14:00,18:00,M  W  F   ,WILLMS,202,Peters,3
ART,111,Fine Metals,60598,Z1,O,C,1,2,14:00,18:00,M  W  F   ,WILLMS,202,Peters,3
ART,113,Clay: Hand Building,60235,Z1,O,C,20,8,09:00,11:00,M T W R    ,WILLMS,106,Carter,3  
ART,115,Intermediate Drawing,60300,Z1,O,C,17,9,09:00,13:00,M T W R F   ,WILLMS,416,Davis,3  
