 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,201,General Biochemistry,60349,Z1,L,C,25,22,09:00,12:00,M T  R F   ,HILLS,234,Currier,3  
AIS,095,Terrorism:A South Asian Persp,60027,OL1,L,C,25,17,TBA,,       ,,,Ali,2
AIS,095,Trad Chinese Med:Intro,60359,Z2,L,C,20,14,16:30,20:30,M  W     ,ROWELL,242,Ramsay,3
AIS,298,Advanced Readings & Research,60511,A,T,M,1,1,TBA,,       ,,,Mahoney,3
ALAN,195,Race & Gender in Mass Media,60098,Z1,L,C,20,6,11:00,15:00,M T W R F   ,VOTEY,254,Ghosh,3  
ANNB,301,Medical Gross Anatomy,60096,Z1,B,C,30,21,09:00,16:00,M T W R F   ,GIVN E,E210,Ezerman,8
ANNB,302,Neuroscience,60093,Z1,L,C,50,20,09:00,17:00,M T W R F   ,ROWELL,103,Parsons,4
ANNB,491,Doctoral Dissertation Research,60530,A,T,M,10,4,TBA,,       ,,,Nishi,1 to 18
ANTH,021,Human Cultures,60061,Z1,L,C,35,10,10:00,12:00,M T W R    ,WILLMS,402,Gordon,3  
ANTH,021,Human Cultures,60340,Z2,L,C,36,19,09:00,11:00,M T W R    ,WILLMS,402,Torsch,3  
ANTH,024,Prehistoric Archaeology,60062,Z1,L,C,20,5,09:45,13:45,M  W     ,LAFAYE,L302,Kroll Lern,3  
ANTH,095,Business Anthropology,60018,OL1,L,C,25,14,TBA,,       ,,,Dickinson,3
ANTH,195,People&Plants:Ethnobot of NE,60029,Z1,L,C,15,1,09:00,15:00,M T W R F   ,LAFAYE,L102,Anderson,4
ART,001,Drawing,60256,Z1,O,C,24,12,12:30,16:30, T  R    ,WILLMS,416,Rubenstein,3  
ART,002,Two-Dimensional Studies,60420,BU1,O,C,22,6,17:00,20:30, T  R    ,,,Pollack,3  
ART,003,Three-Dimensional Studies,60418,BU1,O,C,20,6,17:00,21:00,M  W     ,,,Haggart,3  
ART,004,Intro to Film/Video Production,60223,Z1,O,C,18,12,09:00,11:00,M T W R    ,LAFAYE,L302,Ungerer,3  
ART,005,Western Art:Ancient - Medieval,60275,Z1,L,C,35,8,17:00,20:30,M T W R    ,WILLMS,402,Mierse,3  
ART,095,Intro to Photography,60426,BU1,A,C,12,11,09:00,17:00,     S  ,,,Mantell,3
ART,095,Introduction to Welding,60206,Z1,A,C,12,10,09:00,12:00,M T W     ,WILLMS,112,McDevitt,1 to 4
ART,095,Fine Metals:Jewelry Perspect,60216,Z3,O,C,12,12,09:30,12:30,M T W R F   ,WILLMS,202,Peters,1 to 4
ART,095,Intro to Watercolor,60291,Z5,O,C,16,15,18:15,21:30, T W R    ,RT THR,210,Thaler,1 to 4
ART,095,Introduction to Photography,60388,Z6,L,C,15,12,09:00,11:00,M T W R    ,WILLMS,506,Douglas,1 to 4
ART,114,Clay: Wheel Throwing,60575,WD,O,M,1,1,09:00,11:00,       ,,,,3  
ART,114,Clay: Wheel Throwing,60270,Z1,O,C,15,9,09:00,11:15,M T W R    ,WILLMS,106,Carter,3  
ART,114,Clay: Wheel Throwing,60272,Z2,O,C,15,7,09:00,11:15,M T W R    ,WILLMS,106,Carter,3  
ART,121,Painting,60262,Z1,O,C,15,9,09:00,12:00,M T W R F   ,WILLMS,213,Davis,3  
ART,121,Painting,60277,Z2,O,C,15,12,12:30,16:30, T  R    ,WILLMS,213,Rubenstein,3  
ART,132,Printmaking: Silkscreen,60278,Z1,O,C,18,13,09:00,13:00, T  R    ,WILLMS,309,Emmons,3  
ART,137,Photography,60252,Z1,O,C,16,7,09:30,12:30,M T W R F   ,WILLMS,415,McDowell,3  
ART,138,Color Photography,60249,Z1,O,C,15,10,10:00,16:00,M T W R F   ,WILLMS,415,Brennan,3  
ART,141,Sculpture,60219,Z1,O,C,15,6,14:00,17:00,M T W R F   ,WILLMS,112,Shea,3  
ART,170,Sculpture in 20th Century,60276,Z1,L,C,20,10,17:00,19:50, T  R    ,LAFAYE,L311,Stone,3  
ART,195,Clay:Raku,60574,WD,O,C,1,1,TBA,,       ,,,,0 to 4
ART,195,Paint  Ecol Percep & Theory,60266,Z1,B,C,15,12,09:00,14:00,M T W R F   ,WILLMS,213,Davis,3
ART,195,Clay:Raku,60273,Z2,O,C,15,11,13:00,15:15,M T W R    ,WILLMS,106,Carter,3
ART,197,Rdgs & Rsch:Tutorial in Studio,60490,Z1,T,C,1,1,09:00,12:00,M       ,WILLMS,418,Mierse,3  
ASCI,195,Field Experience,60549,A,I,M,10,0,TBA,,       ,,,Kinghorn,0.5 to 1
ASCI,391,Master's Thesis Research,60541,A,T,M,10,0,TBA,,       ,,,Plaut,1 to 9
ASCI,491,Doctoral Dissertation Research,60542,A,T,M,10,2,TBA,,       ,,,Plaut,1 to 12
ASTR,005,Exploring the Cosmos,60264,Z1,L,C,20,10,09:00,11:00,M T W R    ,ANGELL,B104,Perry,3  
BIOC,491,Doctoral Dissertation Research,60489,A,T,M,20,2,TBA,,       ,,,Mann,1 to 12
BIOL,001,Principles of Biology,60132,Z1,L,C,40,34,08:30,12:00,M  W  F   ,ML SCI,105,Olivetti,4
BIOL,001,Principles of Biology,60352,Z2,B,C,20,19,08:30,12:00, T  R    ,ML SCI,114,Olivetti,0
BIOL,001,Principles of Biology,60353,Z3,B,C,17,14,13:00,16:30, T  R    ,ML SCI,114,Olivetti,0
BIOL,002,Principles of Biology,60133,Z1,L,C,20,15,08:30,12:00, T  R    ,ML SCI,114,Olivetti,4
BIOL,003,Human Biology,60043,Z1,L,C,35,21,09:30,12:00,M  W  F   ,ML SCI,107,Mitchell,3  
BIOL,381,Independent Rsch - HELIX,60413,A,L,M,5,4,TBA,,       ,,,Bress,0 to 4
BIOL,391,Master's Thesis Rsch,60447,`,T,M,10,0,TBA,,       ,,,VanHouten,1 to 10
BIOL,491,Doctoral Dissertation Rsch,60448,A,T,M,10,3,TBA,,       ,,,VanHouten,1 to 10
BMT,054,Principles of Microbiology,60401,Z1,L,C,26,19,16:05,18:00, T  R    ,ROWELL,113,Guy,4
BOT,109,Systematics & Phylogeny,60319,Z1,L,C,20,13,09:00,12:30,M T W R F   ,ML SCI,131,Barrington,4
BOT,295,Reading the Landscape,60245,VT1,L,C,12,4,08:00,21:00,M T W R F  U ,,,Wang,2
BOT,491,Doctoral Dissertation Research,60501,A,T,M,25,1,TBA,,       ,,,Vogelmann,1 to 10
BSAD,017,Business Law,60100,OL1,L,C,25,10,TBA,,       ,,,Kasper,3  
BSAD,018,Business Law,60311,Z1,L,C,30,16,17:30,20:10, T W R    ,KALKIN,110,Goldman,3  
BSAD,060,Financial Accounting,60104,Z1,L,C,30,12,09:00,11:45,M T W R F   ,KALKIN,110,Dempsey,4
BSAD,061,Managerial Accounting,60105,Z1,L,C,30,18,09:00,11:45,M T W R F   ,KALKIN,325,Woodman,4
BSAD,095,Business Anthropology,60019,OL1,L,C,25,2,TBA,,       ,,,Dickinson,3
BSAD,120,Prin Mgmt & Org Behavior,60108,Z1,L,C,20,15,09:00,11:50,M T W     ,DEWEY,212,Viets,3
BSAD,121,ST in Organizational Behavior,60451,OL1,L,C,10,5,TBA,,       ,,,Miller,3  
BSAD,132,Legal & Political Envir of Bus,60312,Z1,L,C,30,12,13:30,16:10, T W R    ,KALKIN,110,Goldman,3  
BSAD,141,Mgmt Information Systems,60110,Z1,L,C,20,11,13:00,15:50,M  W R    ,KALKIN,002,Kraushaar,3  
BSAD,150,Marketing Management,60107,Z1,L,C,15,7,09:00,11:50,M T W R F   ,KALKIN,002,Noordewier,3  
BSAD,180,Managerial Finance,60106,Z1,L,C,25,23,12:30,14:30,M T W R F   ,KALKIN,004,Dempsey,3  
BSAD,195,ST in Organizational Analysis,60450,OL1,L,C,20,3,TBA,,       ,,,Miller,1
BSAD,195,Business Savvy,60101,Z1,L,C,48,25,08:00,20:00,M T W R F S U ,KALKIN,325,Viets,6
BSAD,295,International Trade,60500,Z1,L,C,1,1,18:00,20:45,M  W R    ,KALKIN,001,Averyt,3
BSAD,394,Independent Readings&Research,60482,A,L,M,10,1,TBA,,       ,,,Staff,1 to 3
BSAD,395,International Trade,60112,Z1,L,C,20,13,18:00,20:45,M  W R    ,KALKIN,001,Averyt,3
CDAE,015,Design Strategies,60045,OL1,L,C,20,12,TBA,,       ,,,Petrillo,3
CDAE,127,Consumer Markets&Public Policy,60102,OL1,L,C,25,19,TBA,,       ,,,Ashman,3  
CDAE,157,Consumer Law and Policy,60103,OL1,L,C,25,11,TBA,,       ,,,Ashman,3  
CDAE,159,Consumer Assistance Program,60053,Z1,L,C,12,2,TBA,,       ,MORRIL,104,Wagner,3
CDAE,196,Field Experience/Practicum,60049,Z1,I,C,99,2,08:00,17:00,       ,,,Ferreira,1 to 15
CDAE,296,Field Experience/Practicum,60052,Z1,I,C,99,4,TBA,,       ,,,Ferreira,1 to 15
CE,391,Master Thesis Rsch,60461,A,T,M,50,1,TBA,,       ,,,Staff,1 to 12
CE,491,Doctoral Dissertation Research,60462,A,T,M,50,1,TBA,,       ,,,Staff,1 to 18
CHEM,023,Outline of General Chemistry,60034,OL1,L,C,20,12,TBA,,       ,,,Goldberg,4
CHEM,025,Outline of General Chemistry,60035,OL1,L,C,20,3,TBA,,       ,,,Goldberg,3  
CHEM,031,Introductory Chemistry,60030,Z1,L,C,40,25,13:00,16:00,M T W  F   ,,,Sharp,4
CHEM,032,Introductory Chemistry,60031,Z1,L,C,40,30,13:00,16:00,M T W  F   ,,,Sharp,4
CHEM,141,Organic Chemistry,60032,Z1,L,C,71,52,13:00,16:00,M T W  F   ,,,Horn,4
CHEM,142,Organic Chemistry,60033,Z1,L,C,71,49,13:00,16:00,M T W  F   ,,,Horn,4
CLBI,295,Special Topics,60465,A,L,M,60,1,TBA,,       ,,,Staff,3
CLBI,295,Genetic Manipulation of Mice,60480,B,L,M,14,13,09:00,17:00,M T W R F   ,HSRF,,Rincon,3
CLBI,391,Master's Thesis Research,60463,A,T,M,10,0,TBA,,       ,,,Staff,1 to 12
CLBI,491,Doctoral Dissertation Research,60464,A,T,M,60,11,TBA,,       ,,,Staff,1 to 12
CMSI,001,Elem American Sign Language 1,60354,Z1,L,C,15,10,16:15,19:15,M T W     ,ROWELL,242,Bearman,3
CMSI,020,Intro to Disordered Comm,60362,MT1,L,C,30,18,09:00,17:30,M T W R F   ,,,Bitner,3  
CMSI,094,Dev of Spoken Language,60370,DL1,L,C,21,15,08:30,12:30,M T W R F   ,LAFAYE,L411,Bitner,3  
CMSI,094,Dev of Spoken Language,60363,Z1,L,C,21,11,08:30,12:30,M T W R F   ,LAFAYE,L411,Bitner,3  
CMSI,101,Speech Science,60469,A,L,M,1,1,TBA,,       ,,,Guitar,4  
CMSI,197,Readings & Research,60483,Z1,L,C,10,1,TBA,,       ,POMERO,,Staff,1 to 9
CMSI,281,Cognitive Neuroscience,60209,Z1,L,C,30,21,13:30,16:30,M  W  F   ,POMERO,304,Short,3  
CMSI,295,Summer Autism Institute,60211,SB1,L,C,50,23,08:00,16:30,M T W R F   ,,,Prelock,3
CMSI,295,Update Speech Lang & Hear Dis,60212,Z2,L,C,20,20,08:00,16:30,M T W R F   ,ROWELL,118,McCauley,3
CMSI,310,Clinic Preparation&Management,60213,Z1,L,C,30,11,13:30,17:30, T  R    ,POMERO,304,Staff,3  
CMSI,371,Audiolog Assess:Spch-Lang Path,60214,Z1,L,C,25,12,09:00,12:00,M T W R F   ,POMERO,304,Adams,3  
CMSI,372,Mgmt&Habil/Child w/Hearing Imp,60215,Z1,L,C,25,14,09:00,12:00,M T W R F   ,POMERO,304,Adams,3  
CMSI,391,Master's Thesis Research,60403,A,T,M,15,0,TBA,,       ,POMERO,403,Prelock,1 to 6
CS,008,Introduction: WWW Design (2-2),60315,Z1,L,C,15,13,09:00,11:30,M T W R    ,VOTEY,207,Erickson,3
CS,014,Visual Basic Programming,60288,OL1,L,C,40,15,TBA,,       ,,,Pechenick,3
CS,014,Visual Basic Programming,60553,WD,L,C,1,2,TBA,,       ,,,,3
CS,021,Computer Programming I,60201,Z1,L,C,15,8,09:00,12:00,  W R F   ,VOTEY,367,Douglas,4
CS,391,Master's Thesis Research,60446,A,T,M,30,3,TBA,,       ,,,Snapp,1 to 18
CS,394,RNA Expression Analysis,60485,A,I,M,1,1,TBA,,       ,,,Arslan,1
