 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,195,Special Topics,90005,A,B,M,10,0,TBA,,       ,,,Staff,1 to 3
AGBI,195,Student Teaching Lab,90007,B,L,M,6,3,TBA,,       ,HILLS,128,Staff,1 to 3
AGBI,198,Undergraduate Research,90008,A,B,M,12,3,TBA,,       ,,,Barrington,1 to 3
AGBI,201,General Biochemistry,90009,A,L,M,125,116,11:15,12:05,M  W  F   ,ROWELL,103,Weller,3  
AGBI,202,General Biochemistry Lab,90032,A,B,M,12,12,13:25,16:25,M       ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90033,B,B,M,12,11,08:00,10:45, T      ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90034,C,B,M,12,13,13:25,16:25,  W     ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90035,D,B,M,12,15,08:00,10:45,   R    ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90036,E,B,M,12,12,13:10,16:00,   R    ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90037,F,B,M,12,9,13:25,16:25,    F   ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,92677,G,B,M,0,2,18:30,21:30,   R    ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,92778,Z1,B,C,12,11,18:30,21:30,   R    ,HILLS,128,Currier,1  
AGBI,220,Molecular Biology,90038,A,L,M,30,6,09:05,09:55,M  W  F   ,AIKEN,104,Currier,3  
AGBI,221,Molecular Biology Lab,90039,A,B,M,30,6,12:30,16:45, T      ,HILLS,133,Currier,1  
AGBI,295,Special Topics,90041,A,B,M,10,1,TBA,,       ,HILLS,,Staff,1 to 12
AGBI,301,Special Problems,90044,A,B,M,5,0,TBA,,       ,HILLS,,Staff,1 to 3
AGBI,381,Biochemistry Seminar,90049,A,L,M,5,0,12:20,13:10,M       ,HILLS,100,Barrington,1  
AGBI,391,Master's Thesis Research,90051,A,T,M,5,0,TBA,,       ,HILLS,,Staff,1 to 18
AGBI,491,Doctoral Dissertation Research,90054,A,T,M,5,0,TBA,,       ,HILLS,,Staff,1 to 12
AGRI,095,Introductory Special Topics,90793,A,L,M,20,19,15:35,18:35,M       ,LAFAYE,L100,Burrell,1 to 3
AGRI,095,Introductory Special Topics,90797,B,L,M,20,20,15:35,18:35,M       ,ROWELL,242,Williams,1 to 3
AGRI,095,Introductory Special Topics,90800,C,L,M,20,17,08:00,09:15, T  R    ,WATERM,400,Smith,1 to 3
AGRI,095,Introductory Special Topics,90803,D,L,M,20,17,07:45,10:45, T      ,WATERM,402,Wadley-Bai,1 to 3
AGRI,095,Introductory Special Topics,90806,E,L,M,20,20,15:30,18:15, T      ,OMANEX,A202,Brown,1 to 3
AGRI,095,Introductory Special Topics,90808,F,L,M,20,20,15:30,18:15, T      ,HILLS,234,Walker,1 to 3
AGRI,095,Introductory Special Topics,90813,G,L,M,20,17,15:35,18:35,  W     ,WATERM,458,Lang,1 to 3
AGRI,095,Introductory Special Topics,90825,H,L,M,20,23,15:35,18:35,  W     ,TERRIL,222,Lawrence,1 to 3
AGRI,095,Introductory Special Topics,90827,I,L,M,20,18,15:35,18:35,  W     ,LAFAYE,L100,Sandoval,1 to 3
AGRI,095,Introductory Special Topics,90828,J,L,M,20,19,15:30,18:15,   R    ,L/L-D,D107,Diouf,1 to 3
AGRI,095,Introductory Special Topics,90833,K,L,M,20,17,15:35,18:35,M       ,LAFAYE,L100,Brauer,1 to 3
AGRI,095,Introductory Special Topics,90837,L,L,M,20,20,15:35,18:35,M       ,WATERM,402,Burrell,1 to 3
AGRI,095,Introductory Special Topics,90840,M,L,M,20,12,15:35,18:35,M       ,WATERM,540,Williams,1 to 3
AGRI,095,Introductory Special Topics,90842,N,L,M,20,13,07:45,10:45, T      ,WATERM,402,Wadley-Bai,1 to 3
AGRI,095,Introductory Special Topics,90848,O,L,M,20,15,15:30,18:15, T      ,OMANEX,A202,Brown,1 to 3
AGRI,095,Introductory Special Topics,90853,P,L,M,20,22,15:35,18:35,  W     ,TERRIL,222,Lawrence,1 to 3
