 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,201,General Biochemistry,60448,Z1,L,C,25,8,09:00,12:00,M T W R F   ,HILLS,234,Currier,3  
AIS,091,Demonic & Supernat'l 19&20th C,60099,Z1,L,C,15,1,16:30,18:15,M T W R F   ,OMANEX,A500,McKenna,3  
AIS,095,Utilizing Media,60267,Z2,L,C,20,2,17:00,20:00,M T W R F   ,BAILEY,123,Grayson,1
AIS,095,Gender in East & West,60397,Z4,L,C,25,0,13:30,16:40,M  W  F   ,LAFAYE,L200,Teshima,3
AIS,195,Culture & Language of Quebec,60247,Z1,L,C,20,0,TBA,,       ,,,Senecal,3
AIS,295,Holocaust & Holocaust Educ,60434,Z1,L,C,25,3,20:00,22:00, T  R    ,WATERM,427,Bernheim,3
ANNB,301,Medical Gross Anatomy,60458,Z1,L,C,30,13,09:00,16:00,M T W R F   ,GIVN E,E401,Szilva,8
ANNB,302,Neuroscience,60459,Z1,L,C,50,7,09:00,17:00,M T W R F   ,ROWELL,103,Parsons,4
ANNB,342,Spec Dissections in Gross Anat,60673,A,B,C,1,1,09:00,16:00,M T W R F   ,GIVN E,E401,Szilva,1
ANTH,021,Human Cultures,60347,DL1,L,C,25,16,TBA,,       ,,,Houston,3  
ANTH,021,Human Cultures,60294,Z1,L,C,30,27,09:00,11:00,M T W R    ,AIKEN,116,Vivanco,3  
ANTH,024,Prehistoric Archaeology,60284,Z1,L,C,35,4,10:00,13:30, T  R    ,WILLMS,403,Kroll Lern,3  
ANTH,026,Physical Anthropology,60192,Z1,L,C,35,8,18:00,21:15, T  R    ,WILLMS,403,Holly,3  
ANTH,195,Soc Behav Nonhuman Primates,60469,Z1,L,C,15,12,13:00,16:45, T  R    ,WILLMS,403,Blom,3
ANTH,295,Field Methods in Environ Rsch,60252,Z1,L,C,15,2,12:00,16:00,    F   ,,,Paradis,3
ANTH,297,Advanced Readings & Research,60574,A,T,M,1,1,TBA,,       ,,,Petersen,1 to 3
ART,001,Drawing,60634,WD,O,C,999,1,TBA,,       ,,,,3  
ART,001,Drawing,60324,Z1,O,C,26,17,16:00,18:50,M T W R F   ,WILLMS,416,Owre,3  
ART,001,Drawing,60325,Z2,O,C,26,25,13:00,16:15, T  R    ,WILLMS,416,McDevitt,3  
ART,002,Two-Dimensional Studies,60327,Z1,O,C,22,7,13:00,17:00, T  R    ,WILLMS,305,Dye,3  
ART,002,Two-Dimensional Studies,60328,Z2,O,C,22,7,09:00,12:15,M T W R    ,WILLMS,305,Haggart,3  
ART,003,Three-Dimensional Studies,60329,Z1,O,C,15,8,10:00,13:15, T  R    ,WILLMS,112,Warren,3  
ART,003,Three-Dimensional Studies,60330,Z2,O,C,15,9,16:00,19:00,M T W R F   ,WILLMS,112,Shea,3  
ART,004,Intro to Film/Video Production,60331,Z1,O,C,16,15,09:00,11:00,M T W R    ,LAFAYE,L302,Ungerer,3  
ART,005,Western Art:Ancient - Medieval,60334,Z1,L,C,30,21,17:00,20:30,M T W R    ,LAFAYE,L302,Mierse,3  
ART,011,Introduction to Fine Metals,60335,Z1,O,C,12,4,09:30,12:30,M T W R F   ,WILLMS,202,Peters,3  
ART,095,How to Draw What You See,60018,Z1,A,C,14,8,18:15,21:30, T W R    ,RT THR,210,Thaler,3
ART,095,Plaster Techniques/Mold Making,60337,Z3,O,C,15,9,09:00,12:15, T  R    ,WILLMS,112,McDevitt,3
ART,111,Fine Metals,60446,Z1,O,C,12,2,09:30,12:30,M T W R F   ,WILLMS,202,Peters,0 to 3
ART,114,Clay: Wheel Throwing,60338,Z1,O,C,15,9,09:30,12:00,M T W R    ,WILLMS,106,Carter,3
ART,121,Painting,60339,Z1,O,C,15,15,09:00,12:00,M T W R F   ,WILLMS,213,Davis,3  
ART,132,Printmaking: Silkscreen,60340,Z1,O,C,16,11,09:00,12:15,M T      ,WILLMS,309,Davison,3  
ART,137,Photography,60341,Z1,O,C,15,16,09:30,12:00,M T W R    ,WILLMS,506,Brennan,3  
ART,141,Sculpture,60342,Z1,O,C,15,10,16:00,19:00,M T W R F   ,WILLMS,112,Shea,3  
ART,145,Graphic Design,60343,Z1,O,C,15,13,08:00,12:30,M T W R F   ,WILLMS,305,McIntyre,3  
ART,170,Topics in Modern Art,60344,Z1,L,C,20,17,17:00,19:50, T  R    ,LAFAYE,L111,Stone,3  
ART,195,Clay Raku,60345,Z2,B,C,15,13,09:30,12:00,M T W R    ,WILLMS,106,Carter,3
ART,195,Painting Ecol Perception&Thry,60428,Z3,O,C,15,9,09:00,15:00,M T W R F   ,WILLMS,213,Davis,3
ASCI,491,Doctoral Dissertation Research,60641,A,T,M,999,1,TBA,,       ,,,Staff,1 to 12
ASTR,005,Exploring the Cosmos,60323,Z1,L,C,20,17,09:00,11:00,M T W R    ,ANGELL,B203,Perry,3  
BIOC,491,Doctoral Dissertation Research,60537,A,T,M,999,5,TBA,,       ,,,Staff,1 to 12
BIOL,001,Principles of Biology,60170,Z1,L,C,35,25,08:30,12:00,M  W  F   ,ML SCI,105,Olivetti,4
BIOL,001,Principles of Biology,60185,Z2,B,C,18,19,08:30,12:00, T  R    ,ML SCI,107,Olivetti,0
BIOL,001,Principles of Biology,60186,Z3,B,C,17,6,13:00,16:30, T  R    ,ML SCI,107,Olivetti,0
BIOL,002,Principles of Biology,60171,Z1,L,C,16,19,08:30,12:00, T  R    ,ML SCI,,Olivetti,4
BIOL,003,Human Biology,60196,Z1,L,C,40,31,10:00,12:05,M  W  F   ,ML SCI,107,Mitchell,3  
