 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,195,Special Topics,90170,A,B,M,18,0,TBA,,       ,HILLS,,Vogelmann,1 to 3
AGBI,195,Student Teaching Lab,90172,B,L,M,6,0,TBA,,       ,HILLS,128,Vogelmann,1 to 3
AGBI,198,Undergraduate Research,90176,A,B,M,12,0,TBA,,       ,HILLS,,Vogelmann,1 to 3
AGBI,201,General Biochemistry,90201,A,L,M,120,104,11:15,12:05,M  W  F   ,VOTEY,105,Currier,3  
AGBI,201,General Biochemistry,92859,WD,L,M,1,1,11:15,12:05,       ,,,,3  
AGBI,202,General Biochemistry Lab,90203,A,B,M,14,12,08:00,11:00,M       ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90206,B,B,M,14,11,13:25,16:25,M       ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90218,C,B,M,14,15,08:00,10:45, T      ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90220,D,B,M,14,13,13:10,16:00, T      ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90222,E,B,M,14,15,08:00,11:00,  W     ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90224,F,B,M,14,11,13:25,16:25,  W     ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90228,G,B,M,14,0,08:00,10:45,   R    ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,90229,H,B,M,14,0,13:10,16:00,   R    ,HILLS,128,Currier,1  
AGBI,295,Special Topics,90238,A,B,M,10,0,TBA,,       ,HILLS,,Vogelmann,1 to 12
AGBI,301,Special Problems,90250,A,B,M,5,0,TBA,,       ,HILLS,,Vogelmann,1 to 3
AGBI,391,Master's Thesis Research,90253,A,T,M,5,0,TBA,,       ,HILLS,,Vogelmann,1 to 18
AGBI,491,Doctoral Dissertation Research,90256,A,T,M,5,0,TBA,,       ,HILLS,,Vogelmann,1 to 12
AGRI,001,Foundations:Communication Meth,90285,A,L,M,92,91,12:30,13:45, T      ,ML SCI,235,Patterson ,3
AGRI,001,Foundations:Communication Meth,90288,B,L,M,93,66,14:00,15:15,   R    ,ML SCI,235,Patterson ,3
AGRI,001,Foundations:Communication Meth,90293,B01,B,M,20,17,09:05,11:00,M       ,LAFAYE,L411,Patterson ,0
AGRI,001,Foundations:Communication Meth,90295,B02,B,M,20,19,14:30,16:30,M       ,LAFAYE,L411,Patterson ,0
AGRI,001,Foundations:Communication Meth,90297,B03,B,M,20,20,09:30,11:30, T      ,LAFAYE,L411,Patterson ,0
AGRI,001,Foundations:Communication Meth,90298,B04,B,M,20,19,14:00,16:00, T      ,PERKIN,200,Patterson ,0
AGRI,001,Foundations:Communication Meth,90299,B05,B,M,20,10,09:05,11:00,  W     ,LAFAYE,L411,Patterson ,0
AGRI,001,Foundations:Communication Meth,90300,B06,B,M,20,18,14:30,16:30,  W     ,TERRIL,319,Patterson ,0
AGRI,001,Foundations:Communication Meth,90302,B07,B,M,20,18,09:30,11:30,   R    ,LAFAYE,L411,Patterson ,0
AGRI,001,Foundations:Communication Meth,90305,B08,B,M,20,7,14:00,16:00,   R    ,L/L-D,D107,Patterson ,0
AGRI,001,Foundations:Communication Meth,90307,B09,B,M,20,12,09:05,11:00,    F   ,LAFAYE,L411,Patterson ,0
AGRI,001,Foundations:Communication Meth,90326,B10,B,M,20,17,14:30,16:30,    F   ,LAFAYE,L411,Patterson ,0
AGRI,085,Computer Applications,90329,A,L,M,40,35,12:30,13:45,   R    ,DEWEY,314,Leonard,3
AGRI,085,Computer Applications,90331,A01,B,M,20,18,14:00,16:00, T      ,MORRIL,005,Leonard,0
AGRI,085,Computer Applications,90334,A02,B,M,20,17,09:05,11:00,    F   ,MORRIL,005,Leonard,0
AGRI,125,Teaching Assistant Development,90337,A,L,M,25,18,17:00,18:00,   R    ,MORRIL,005,Patterson ,3  
AGRI,183,Communication Methods,90343,A,L,M,60,46,12:30,13:45, T      ,DEWEY,314,Leonard,3
AGRI,183,Communication Methods,90355,A01,B,M,20,17,14:30,16:30,M       ,LAFAYE,L308,Leonard,0
AGRI,183,Communication Methods,90372,A02,B,M,20,18,14:30,16:30,  W     ,TERRIL,222,Leonard,0
AGRI,183,Communication Methods,90378,A03,B,M,20,11,09:00,11:00,  W     ,LAFAYE,L108,Leonard,0
AGRI,195,First-Year Honors Colloquium,90401,D,L,M,16,11,12:20,13:10,M       ,LAFAYE,L107,Stratton,0 to 12
AGRI,195,Sr Honors Thesis Colloquium,90404,E,L,M,16,4,TBA,,       ,,,Stratton,0
AIS,091,TAP:Intro to Russian Culture,90180,A,L,M,20,15,12:20,13:10,M  W  F   ,WATERM,455,Nalibow,3  
AIS,093,So Africa:Politic/Race&Culture,90081,Z1,L,C,20,18,18:00,21:00, T      ,OLDMIL,523,McMahon,3  
AIS,095,Glimpses Chinese Cultures,90182,A,L,M,30,27,19:45,20:35,  W     ,L/L CM,315,Yin,1
AIS,095,Intro to African Literature,90266,Z1,L,C,17,0,17:00,20:00,  W     ,L/L-A,A161,Losambe,3
AIS,195,Globalztn & Natl Sovereignty,92316,A,L,M,40,14,15:30,16:45, T  R    ,LAFAYE,L300,McMahon,3
AIS,195,Environmental Hst of N Amer,92527,B,L,M,40,1,11:00,12:15, T  R    ,HILLS,234,Massell,3
AIS,195,Tibet: Buddhism & Society,92596,C,L,M,24,11,14:00,15:15, T  R    ,L/L-B,B132,Gold,3
AIS,297,Advanced Readings & Research,92818,A,L,M,1,1,TBA,,       ,,,Mahoney,6
ALAN,095,Race & Ethnicity Lit Studies,90164,A,L,M,5,4,09:05,09:55,M  W  F   ,L/L-B,B101,Gennari,3  
ALAN,095,TAP:Race & Ethnicity,90168,B,L,M,3,2,11:00,12:15, T  R    ,L/L-D,D107,Bernard,3  
ALAN,095,TAP: Race & Ethnicity,90174,C,L,M,3,2,10:10,11:00,M  W  F   ,L/L-A,A102,Gennari,3  
ALAN,095,Intro to Ethnic Studies,92498,D,L,M,35,35,15:30,16:45, T  R    ,DEWEY,314,Mello,3  
ALAN,095,TAP: Am Indian Rel:Power&Place,92499,E,L,M,18,2,12:30,13:45, T  R    ,481 MN,104,Mello,3  
ALAN,095,Intro to Ethnic Studies,92608,F,L,M,35,34,14:00,15:15, T  R    ,WILLMS,402,Gilley,3  
ALAN,095,North American Indians,92613,G,L,M,50,16,09:30,10:45, T  R    ,L/L CM,216,Gilley,3  
ANNB,197,Undergrad Research,92450,A,T,M,10,0,TBA,,       ,,,Staff,3 or 6
ANNB,201,Human Gross Anatomy,92451,A,L,M,50,24,13:05,14:00, T  R    ,ROWELL,103,May,5
ANNB,201,Human Gross Anatomy,92452,A01,B,M,50,24,14:10,16:00, T  R    ,GIVN E,E401A,May,0
ANNB,261,Neurobiology,92453,A,L,M,30,1,12:20,13:10,M  W  F   ,ROWELL,118,Murakami,3  
ANNB,381,Sem in Anatomy & Neurobiology,92738,A,L,M,10,6,TBA,,       ,,,Staff,1  
ANNB,391,Master's Thesis Research,92739,A,T,M,10,0,TBA,,       ,,,Staff,1 to 18
ANNB,395,Neuroscience Tech Optic Micro,92454,A,L,M,15,5,15:30,17:00, T W     ,,,Fiekers,3
ANNB,395,Basic Sci Neurological Disease,92737,B,L,M,25,5,12:00,13:00, T      ,HSRF,,Eckenstein,2
ANNB,491,Doctoral Dissertation Research,92740,A,T,M,10,7,TBA,,       ,,,Staff,1 to 18
ANPS,019,Ugr Hum Anatomy & Physiology,92441,A,L,M,200,220,12:20,13:10,M  W  F   ,GIVN E,E131,Cornbrooks,4
ANPS,019,Ugr Hum Anatomy & Physiology,92442,A01,B,M,25,27,09:05,11:55,M       ,ROWELL,111,Cornbrooks,0
ANPS,019,Ugr Hum Anatomy & Physiology,92443,A02,B,M,25,28,11:00,13:50, T      ,ROWELL,111,Cornbrooks,0
ANPS,019,Ugr Hum Anatomy & Physiology,92444,A03,B,M,25,29,18:30,21:20, T      ,ROWELL,111,Cornbrooks,0
ANPS,019,Ugr Hum Anatomy & Physiology,92445,A04,B,M,25,27,09:05,11:55,  W     ,ROWELL,111,Cornbrooks,0
ANPS,019,Ugr Hum Anatomy & Physiology,92446,A05,B,M,25,26,14:30,17:20,  W     ,ROWELL,111,Cornbrooks,0
