 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,195,Special Topics,90300,A,L,M,10,0,TBA,,       ,,,Staff,1 to 3
AGBI,195,Student Teaching Lab,90301,B,B,M,6,0,TBA,,       ,HILLS,128,Staff,1 to 3
AGBI,198,Undergraduate Research,90302,A,B,M,12,0,TBA,,       ,,,Barrington,1 to 3
AGBI,201,General Biochemistry,90303,A,L,M,120,88,11:15,12:05,M  W  F   ,ROWELL,103,Currier,3  
AGBI,202,General Biochemistry Lab,90383,B,B,M,14,14,08:00,10:45, T      ,HILLS,128,Staff,1  
AGBI,202,General Biochemistry Lab,90384,C,B,M,14,14,13:10,16:00, T      ,HILLS,128,Staff,1  
AGBI,202,General Biochemistry Lab,90385,D,B,M,14,14,13:25,16:25,  W     ,HILLS,128,Staff,1  
AGBI,202,General Biochemistry Lab,90386,E,B,M,14,13,08:00,10:45,   R    ,HILLS,128,Staff,1  
AGBI,295,Special Topics,90393,A,B,M,10,0,TBA,,       ,,,Staff,1 to 12
AGRI,085,Computer Applications,90500,A,L,M,90,78,12:30,13:45, T      ,FLEMIN,101,Leonard,3
AGRI,085,Computer Applications,90506,A01,B,M,20,16,14:30,16:30,M       ,WATERM,113Q,Leonard,0
AGRI,085,Computer Applications,90509,A02,B,M,20,9,09:30,11:30, T      ,MORRIL,005,Leonard,0
AGRI,085,Computer Applications,90511,A03,B,M,20,20,14:00,16:00, T      ,WATERM,113Q,Leonard,0
AGRI,085,Computer Applications,90515,A04,B,M,20,18,09:05,11:05,  W     ,WATERM,113Q,Leonard,0
AGRI,085,Computer Applications,90528,A05,B,M,20,15,14:30,16:30,  W     ,MORRIL,005,Leonard,0
AGRI,085,Computer Applications,90532,A06,B,M,20,9,09:30,11:30,   R    ,WATERM,113Q,Leonard,0
AGRI,085,Computer Applications,90536,A07,B,M,20,10,14:00,16:00,   R    ,MORRIL,005,Leonard,0
AGRI,085,Computer Applications,90537,A08,B,M,20,6,09:05,11:05,    F   ,WATERM,113Q,Leonard,0
AGRI,085,Computer Applications,90539,A09,B,M,20,6,14:30,16:30,    F   ,MORRIL,005,Leonard,0
AGRI,085,Computer Applications,90503,B,L,M,90,30,12:30,13:45,   R    ,FLEMIN,101,Leonard,3
AGRI,095,Race and Culture,90568,A,L,M,10,8,08:00,11:00,  W     ,ALLEN,104,Smith,1
AGRI,095,Race and Culture,90572,B,L,M,10,6,08:00,11:00,  W     ,L/L-D,D107,Leslie,1
AGRI,095,Race and Culture,90574,C,L,M,10,9,11:15,14:15,  W     ,CARRIG,011,Smith,1
AGRI,095,Race and Culture,90575,D,L,M,10,10,13:25,16:25,  W     ,ALLEN,104,Lang,1
AGRI,095,Race and Culture,90578,E,L,M,10,9,15:30,18:30, T      ,ALLEN,104,Brown,1
AGRI,095,Race and Culture,90581,F,L,M,10,8,15:30,18:30,   R    ,ALLEN,104,Lang,1
AGRI,095,Race and Culture,90582,G,L,M,10,10,15:35,18:35,  W     ,34S WL,Y206,Leslie,1
AGRI,095,Race and Culture,90586,H,L,M,10,9,15:35,18:35,    F   ,ALLEN,104,Burrell,1
AGRI,095,Race and Culture,90588,I,L,M,10,10,17:00,20:00, T      ,34S WL,Y206,Sheperdson,1
AGRI,095,Race and Culture,90592,J,L,M,10,8,17:00,20:00,   R    ,34S WL,Y206,Nepton,1
AGRI,095,Race and Culture,90594,K,L,M,10,10,17:00,20:00, T      ,L/L-D,D107,Johnson, I,1
AGRI,095,Race and Culture,90596,L,L,M,10,8,17:00,20:00,   R    ,L/L-D,D107,Johnson, I,1
AGRI,095,Race and Culture,90600,M,L,M,10,9,13:25,16:25,    F   ,CARRIG,011,Sheperdson,1
AGRI,095,Race and Culture,90604,N,L,M,10,9,16:40,19:40,  W     ,ALLEN,104,Nepton,1
AGRI,095,Race and Culture,90608,O,L,M,10,8,08:00,11:00,    F   ,ALLEN,104,Walsh,1
AGRI,099,Beginnings,90540,A,L,M,999,99,15:35,17:30,M       ,ROWELL,103,Patterson ,2  
AGRI,099,Beginnings,90541,B,L,M,999,59,15:30,17:30, T      ,ROWELL,103,Patterson ,2  
AGRI,125,Teaching Assistant Development,90544,A,L,M,999,22,17:30,19:00,   R    ,LAFAYE,L100,Patterson ,3  
AGRI,183,Communication Methods,90553,A,L,M,0,85,17:00,20:00,  W     ,LAFAYE,L207,Lauber,0 or 3
AGRI,195,Special Topics,90557,A,L,M,999,15,15:30,18:30,  W     ,MORRIL,206,Patterson ,1 to 12
AGRI,195,Special Topics,92642,B,L,M,999,0,TBA,,       ,,,Johnson,1 to 12
AH,095,Race and Culture,90641,A,L,M,10,9,08:00,11:00,  W     ,ALLEN,104,Walsh,1
AH,095,Race and Culture,90642,B,L,M,10,7,08:00,11:00,  W     ,L/L-D,D107,Leslie,1
AH,095,Race and Culture,90644,C,L,M,10,6,11:15,14:15,  W     ,CARRIG,011,Smith,1
AH,095,Race and Culture,90645,D,L,M,10,9,13:25,16:25,  W     ,ALLEN,104,Lang,1
AH,095,Race and Culture,90646,E,L,M,10,9,15:30,18:30, T      ,ALLEN,104,Brown,1
AH,095,Race and Culture,90648,F,L,M,10,8,15:30,18:30,   R    ,ALLEN,104,Lang,1
AH,095,Race and Culture,90650,G,L,M,10,5,15:35,18:35,  W     ,34S WL,Y206,Leslie,1
AH,095,Race and Culture,90651,H,L,M,10,7,15:35,18:35,    F   ,ALLEN,104,Burrell,1
AH,095,Race and Culture,90654,I,L,M,10,8,17:00,20:00, T      ,34S WL,Y206,Sheperdson,1
AH,095,Race and Culture,90656,J,L,M,10,4,17:00,20:00,   R    ,34S WL,Y206,Nepton,1
