 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,010,Introductory Biochemistry,10583,A,L,M,25,13,10:10,11:00,M  W  F   ,MORRIL,010,Baribault,3  
AGBI,191,Biochemistry of Nucleic Acids,10586,A,L,M,30,3,09:30,10:20, T  R    ,ROWELL,115,Weller,2  
AGBI,195,Special Topics,10588,A,B,M,0,0,TBA,,       ,,,Staff,1 to 3
AGBI,195,Student Teaching Lab,10592,B,B,M,0,1,TBA,,       ,HILLS,128,Barrington,1 to 3
AGBI,198,Undergraduate Research,10594,A,B,M,0,1,TBA,,       ,,,Barrington,1 to 3
AGBI,202,General Biochemistry Lab,10599,A,B,M,12,8,13:25,16:15,M       ,HILLS,128,Baribault,1  
AGBI,202,General Biochemistry Lab,10602,B,B,M,12,5,08:00,10:45, T      ,HILLS,128,Baribault,1  
AGBI,202,General Biochemistry Lab,10605,C,B,M,12,1,13:25,16:15,  W     ,HILLS,128,Baribault,1  
AGBI,202,General Biochemistry Lab,10609,D,B,M,12,0,08:00,10:45,   R    ,HILLS,128,Baribault,1  
AGBI,230,Advanced Biochemistry,10614,A,L,M,25,5,09:05,09:55,M  W  F   ,ROWELL,244,Currier,3  
AGBI,231,Advanced Biochemistry Lab,10618,A,B,M,20,7,13:25,16:15, T      ,HILLS,122,Currier,1  
AGBI,295,Special Topics,10635,A,B,M,10,0,TBA,,       ,HILLS,133,Baribault,2
AGBI,301,Special Problems,10636,A,B,M,5,1,TBA,,       ,,,Barrington,1 to 3
AGBI,381,Biochemistry Seminar,10638,A,L,M,5,2,12:20,13:10,M       ,HILLS,100,Currier,1  
AGBI,391,Master's Thesis Research,10640,A,T,M,5,0,TBA,,       ,,,Barrington,1 to 18
AGBI,491,Doctoral Dissertation Research,10642,A,T,M,5,1,TBA,,       ,,,Barrington,1 to 12
AGRI,095,Introductory Special Topics,12014,A,L,M,10,8,07:45,09:15, T  R    ,WATERM,456,Brauer,1 to 3
