 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,198,Undergraduate Research,11564,A,B,M,25,0,TBA,,       ,,,Vogelmann,1 to 3
AGBI,202,General Biochemistry Lab,11568,A,B,M,14,9,13:10,16:00, T      ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,11569,B,B,M,14,10,08:00,10:45,   R    ,HILLS,128,Currier,1  
AGBI,230,Advanced Biochemistry,12898,A,L,M,6,2,12:20,13:10,M  W  F   ,LAFAYE,L307,Currier,3  
AGBI,250,Plant Biochemistry,11572,A,L,M,10,0,09:30,10:45, T  R    ,,,Currier,2  
AGRI,002,Foundation:Information Tech,11731,A,L,M,109,90,14:00,15:15, T      ,CC THR,I101,Leonard,3
AGRI,002,Foundation:Information Tech,11733,B,L,M,102,69,14:00,15:15,   R    ,CC THR,I101,Leonard,3
AGRI,002,Foundation:Information Tech,11735,L01,B,M,20,4,09:05,11:00,M       ,WATERM,113Q,Leonard,0
AGRI,002,Foundation:Information Tech,11737,L02,B,M,20,20,14:30,16:30,M       ,MORRIL,005,Leonard,0
AGRI,002,Foundation:Information Tech,11739,L03,B,M,20,17,09:30,11:30, T      ,WATERM,113Q,Leonard,0
AGRI,002,Foundation:Information Tech,11740,L04,B,M,20,20,14:00,16:00, T      ,MORRIL,005,Leonard,0
AGRI,002,Foundation:Information Tech,11742,L05,B,M,20,15,09:05,11:00,  W     ,WATERM,113Q,Leonard,0
AGRI,002,Foundation:Information Tech,11745,L06,B,M,20,20,14:30,16:30,  W     ,MORRIL,005,Leonard,0
AGRI,002,Foundation:Information Tech,11748,L07,B,M,20,11,19:00,21:00,  W     ,MORRIL,005,Leonard,0
AGRI,002,Foundation:Information Tech,11750,L08,B,M,20,12,09:30,11:30,   R    ,WATERM,113Q,Leonard,0
AGRI,002,Foundation:Information Tech,11752,L09,B,M,20,16,14:00,16:00,   R    ,MORRIL,005,Leonard,0
AGRI,002,Foundation:Information Tech,11756,L10,B,M,20,5,09:05,11:00,    F   ,WATERM,113Q,Leonard,0
AGRI,002,Foundation:Information Tech,11757,L11,B,M,20,19,14:30,16:30,    F   ,MORRIL,005,Leonard,0
AGRI,085,Computer Applications,11760,A,L,M,40,37,12:30,13:45,   R    ,HILLS,234,Leonard,3
AGRI,085,Computer Applications,11763,A01,B,M,20,19,14:30,16:30,  W     ,WATERM,113Q,Leonard,0
AGRI,085,Computer Applications,11765,A02,B,M,20,18,09:05,11:00,    F   ,MORRIL,005,Leonard,0
AGRI,125,Teaching Assistant Development,11770,A,L,M,25,19,17:00,18:30,   R    ,MORRIL,005,Leonard,3  
AGRI,183,Communication Methods,11773,A,L,M,60,56,14:30,17:30,  W     ,DEWEY,314,Patterson ,3
AGRI,196,Junior Honrs Colloquium,11777,A,L,M,20,9,17:00,18:00, T      ,MORRIL,002,Stratton,0 to 12
AIS,095,Terrorism:An Asian Perspective,10008,OL1,L,C,20,18,TBA,,       ,,,Ali,2
AIS,095,Trad Chinese Medicine: Intro,10016,Z1,L,C,20,18,17:15,20:15, T      ,ROWELL,237,Ramsay,3
AIS,095,Mafia&Cap: Doing Bus in Russia,12231,Z2,L,C,20,15,16:00,19:00,   R    ,LAFAYE,L102,McKenna,3
AIS,096,Glimpses of Chinese Culture 2,11585,A,L,M,20,3,TBA,,       ,,,Yin,1
AIS,196,Tibet: Buddhism and Society,11590,A,L,M,11,9,12:30,13:45, T  R    ,481 MN,104,Gold,3
AIS,196,Gov & Dec Making in Intl Orgs,11601,B,L,M,13,13,11:00,12:15, T  R    ,LAFAYE,L102,McMahon,3
AIS,196,Montreal:A Geog Approach,10031,Z1,L,C,25,4,17:30,20:30,   R    ,ROWELL,110,Deslaurier,3
ALAN,051,Intr to ALANA US Ethnic Stdies,11607,A,L,M,35,34,14:00,15:15, T  R    ,PERKIN,107,Gilley,3  
ALAN,096,Chasing the Blues in  MS Delta,12604,Z1,L,C,20,6,TBA,,       ,,,Greenberg,3  
ANFS,395,ST: Cells to Society,12593,A,L,M,15,7,TBA,,       ,,,Hovey,2
ANFS,491,Doctoral Dissertation,12796,A,T,M,10,5,TBA,,       ,,,Harvey-Ber,1 to 18
ANNB,198,Undergrad Research,11929,A,T,M,10,0,TBA,,       ,,,Forehand,3 to 6
ANNB,261,Neurobiology,11931,A,L,M,35,7,12:20,13:10,M  W  F   ,ROWELL,118,Delay,3  
ANNB,320,Developmental Neurobiology,11936,A,L,M,12,4,14:00,15:15, T  R    ,GIVN C,C443,Forehand,1 to 10
ANNB,342,Spec Dissections in Gross Anat,11937,A,B,M,10,0,TBA,,       ,GIVN E,,Ezerman,1 to 12
ANNB,382,Sem in Anatomy & Neurobiology,11941,A,L,M,10,8,TBA,,       ,GIVN E,,Forehand,1  
ANNB,395,Being a Scientist,11957,A,L,M,25,11,16:00,17:30,   R    ,HSRF,300,Nishi,2
ANNB,395,Neurosci Tech in Optical Micro,11961,B,L,M,15,7,09:00,11:00, T  R    ,HSRF,300,Locknar,3
ANNB,491,Doctoral Dissertation Research,11954,A,T,M,10,9,TBA,,       ,GIVN E,,Forehand,1 to 18
ANPS,020,Ugr Hum Anatomy & Physiology,11758,A,L,M,200,201,12:20,13:10,M  W  F   ,GIVN E,E131,Cornbrooks,4
ANPS,020,Ugr Hum Anatomy & Physiology,11764,A01,B,M,25,24,09:05,11:55,M       ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,11766,A02,B,M,25,25,11:00,13:50, T      ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,11769,A03,B,M,25,28,18:30,21:20, T      ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,11772,A04,B,M,25,25,09:05,11:55,  W     ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,11776,A05,B,M,25,28,14:30,17:20,  W     ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,11779,A06,B,M,25,20,09:30,12:20,   R    ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,11780,A07,B,M,25,31,14:00,16:50,   R    ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,11783,A08,B,M,25,20,09:05,11:55,    F   ,ROWELL,111,Low,0
ANTH,021,Human Cultures,11881,A,L,M,99,97,10:10,11:00,M  W  F   ,VOTEY,105,Sheridan,3  
ANTH,021,Human Cultures,11883,B,L,M,64,59,13:25,14:15,M  W  F   ,DEWEY,314,Sheridan,3  
ANTH,021,Human Cultures,12654,C,L,M,100,98,09:30,10:45, T  R    ,WATERM,413,Holly,3  
ANTH,021,Human Cultures,10161,Z1,L,C,35,33,18:00,21:00, T      ,WILLMS,403,Torsch,3  
ANTH,021,Human Cultures,10164,Z2,L,C,25,24,18:25,19:40,M  W     ,WILLMS,402,Roy,3  
ANTH,024,Prehistoric Archaeology,11885,A,L,M,100,99,11:00,12:15, T  R    ,WATERM,413,Crock,3  
ANTH,026,Biological  Anthropology,11887,A,L,M,100,97,12:30,13:45, T  R    ,ANGELL,B112,Blom,3  
ANTH,026,Biological  Anthropology,10156,Z1,L,C,35,28,16:00,19:00,  W     ,VOTEY,209,Blom,3  
ANTH,096,Globlztn  Culture & Resistnce,12655,A,L,M,50,49,15:30,16:45, T  R    ,WATERM,427,Ziegler-Ot,3
ANTH,096,Way We Live Now:Anth of Subrbs,12656,B,L,M,50,51,11:00,12:15, T  R    ,L/L CM,216,Ziegler-Ot,3
ANTH,096,Farm to Table: Cont Food Syst,12707,C,L,M,20,18,11:00,12:15, T  R    ,L/L CM,315,Trubek,3
ANTH,096,Anthropology at Work,10010,WQ1,L,C,20,13,TBA,,       ,,,Dickinson,1
ANTH,096,Anthropology at Work,12833,WQ2,L,C,15,7,TBA,,       ,,,Dickinson,1
ANTH,140,Primates and Anthropology,11892,A,L,M,35,32,15:30,16:45, T  R    ,WILLMS,402,Blom,3  
ANTH,174,Culture  Health and Healing,11898,A,L,M,100,69,12:20,13:10,M  W  F   ,ANGELL,B112,Shea,3  
ANTH,180,Psychological Anthropology,11913,A,L,M,60,32,09:05,09:55,M  W  F   ,DEWEY,314,Shea,3  
ANTH,181,Law  War and Disorder,12527,A,L,M,35,34,14:00,15:15, T  R    ,WILLMS,403,Gordon,3  
ANTH,187,Race and Ethnicity,10154,Z1,L,C,25,19,17:30,20:30,  W     ,OMANEX,A206,Nelson,3  
ANTH,189,Aging in Cross-Cultural Persp,10155,OL1,L,C,12,9,TBA,,       ,,,Nelson,3  
ANTH,190,ISSP Thesis,12811,A,T,M,10,2,TBA,,       ,,,Vivanco,3  
ANTH,196,Death and the Body,11917,A,L,M,80,75,15:30,16:45, T  R    ,FLEMIN,101,Fitzsimmon,3
ANTH,196,Ancient Maya,11921,B,L,M,70,40,14:00,15:15, T  R    ,DEWEY,314,Fitzsimmon,3
