 Subj,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
"MATH","019","Fundamentals of Calculus I","90814","O","LEC","M","200","193","13:55","14:45","M  W  F   ","BLLNGS","LH","Burgmeier, James William","3"
"MATH","019","Fundamentals of Calculus I","93067","OL1","ONL","C","15","14","18:15","19:30","M  W     ","ONLINE","COURSE","Rosebush, Joan Marie","3"
"MATH","019","Fundamentals of Calculus I","90815","P","LEC","M","37","37","14:30","15:45"," T  R    ","LAFAYE","L100","Yang, Jianke ","3"
"MATH","019","Fundamentals of Calculus I","92673","Q","LEC","M","30","30","14:30","15:45"," T  R    ","PERKIN","300","Pechenick, Eitan Adam","3"
"MATH","019","Fundamentals of Calculus I","92674","R","LEC","M","32","31","15:00","15:50","M  W  F   ","PERKIN","300","Levin, Alex S","3"
"MATH","019","Fundamentals of Calculus I","92675","S","LEC","M","31","29","16:00","17:15"," T  R    ","PERKIN","300","Krogsrud, Jared Ryland","3"
"MATH","019","Fundamentals of Calculus I","92694","T","LEC","M","31","29","16:05","16:55","M  W  F   ","PERKIN","300","Levin, Alex S","3"
"MATH","019","Fundamentals of Calculus I","92005","Z1","LEC","C","30","26","16:05","19:05","M       ","VOTEY","254","Brown, Melanie M","3"
"MATH","019","Fundamentals of Calculus I","94931","ZRA","LEC","C","2","0","08:30","09:20","M  W  F   ","LAFAYE","L210","Koehler, Vincent ","3"
"MATH","019","Fundamentals of Calculus I","94932","ZRG","LEC","C","2","2","10:00","11:15"," T  R    ","VOTEY","205","Welz, Matthew David","3"
"MATH","019","Fundamentals of Calculus I","94933","ZRP","LEC","C","1","1","14:30","15:45"," T  R    ","LAFAYE","L100","Yang, Jianke ","3"
"MATH","020","Fundamentals of Calculus II","90817","A","LEC","M","40","37","08:30","09:45"," T  R    ","VOTEY","209","Bentil, Daniel ","3"
"MATH","020","Fundamentals of Calculus II","90818","B","LEC","M","40","40","10:00","11:15"," T  R    ","VOTEY","207","Bentil, Daniel ","3"
"MATH","020","Fundamentals of Calculus II","90819","C","LEC","M","40","35","13:55","14:45","M  W  F   ","VOTEY","209","Julianelle, Anthony ","3"
"MATH","020","Fundamentals of Calculus II","92006","Z1","LEC","C","27","15","18:15","21:15","M       ","VOTEY","361","Welz, Matthew David","3"
"MATH","021","Calculus I","90750","A","LEC","M","32","27","08:30","09:45"," T      ","PERKIN","102","Kudrle, Joseph M","4"
"MATH","021","Calculus I","90751","B","LEC","M","40","42","08:30","09:45"," T      ","VOTEY","254","Rosebush, Joan Marie","4"
"MATH","021","Calculus I","90753","C","LEC","M","32","25","10:00","11:15"," T      ","PERKIN","102","Kudrle, Joseph M","4"
"MATH","021","Calculus I","90754","D","LEC","M","40","43","10:00","11:15"," T      ","VOTEY","254","Rosebush, Joan Marie","4"
"MATH","021","Calculus I","90755","E","LEC","M","32","28","11:30","12:45"," T      ","PERKIN","102","Julianelle, Anthony ","4"
"MATH","021","Calculus I","90757","F","LEC","M","40","36","11:30","12:45","   R    ","VOTEY","254","Koehler, Vincent ","4"
