 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor First,Instructor Last,Credits
PEAC,079,Racquetball 1-4,92004,E,ACT,M,14,9,13:30,14:20, T  R    ,PFG,RQTBALL,Paul,Reinhardt,1
PEAC,079,Racquetball 1-4,92834,F,ACT,M,15,7,10:10,11:00,M  W     ,PFG,RQTBALL,Paul,Reinhardt,1
PEAC,079,Racquetball 1-4,92835,G,ACT,M,14,6,14:30,15:20, T  R    ,PFG,RQTBALL,Paul,Reinhardt,1
PEAC,092,Squash 1-2,92005,A,ACT,M,8,7,13:10,14:00, T  R    ,PFG,SQUASH,Elizabeth,Parsons-Reinhardt,1
PEAC,092,Squash 1-2,92006,B,ACT,M,8,5,14:10,15:00, T  R    ,PFG,SQUASH,Elizabeth,Parsons-Reinhardt,1
PEAC,096,Tennis 1-2,92007,A,ACT,M,16,14,08:00,08:50,M  W     ,PFG,TENNIS,Elizabeth,Parsons-Reinhardt,1
PEAC,096,Tennis 1-2,92008,B,ACT,M,16,16,09:05,09:55,M  W     ,PFG,TENNIS,Elizabeth,Parsons-Reinhardt,1
PEAC,098,Tennis 3-4,92009,A,ACT,M,16,14,10:10,11:00,M  W     ,PFG,TENNIS,Elizabeth,Parsons-Reinhardt,1
PEAC,098,Tennis 3-4,92010,B,ACT,M,16,15,11:10,12:00,M  W     ,PFG,TENNIS,Elizabeth,Parsons-Reinhardt,1
PEAC,100,Tennis 5-6,92011,A,ACT,M,16,14,11:00,11:50, T  R    ,PFG,TENNIS,Elizabeth,Parsons-Reinhardt,1
PEAC,105,Outdoor Recreation,94461,B,ACT,M,20,3,13:00,15:30,   R    ,OFFCMP,SEE NOTES,Eric,Bowker,1
PEAC,125,Team Sports 1,92311,A,ACT,M,25,8,10:45,12:00, T  R    ,PFG,TRACK,Chad,Powlovich,1
PEAC,161,Modern Jazz 1-2,92014,A,ACT,M,20,12,14:20,16:00,M       ,PFG,DANCE,Alexis,Kamitses,1
PEAC,166,Ballet 1-2,92016,A,ACT,M,18,13,08:15,09:55,M       ,PFG,DANCE,Jean-Marie,Mellichamp,1
PEAC,171,Modern Dance 1-2,92018,A,ACT,M,18,7,10:20,11:55, T      ,PFG,DANCE,Catherine,Bailey,1
PEAC,187,Ballroom Dance 1-2,92020,A,ACT,M,90,38,14:00,15:40,   R    ,PFG,DANCE,Rebecca,Brookes,1
PEAC,199,PEAC Independent Study,92179,A,ACT,M,294,0,TBA,,       ,,,Patricia,McLaughlin,0.5 to 1
PEAC,199,West African Dance,92184,B,ACT,M,18,18,14:00,15:40,  W     ,PFG,DANCE,Lois,Trombley,1
PEAC,199,World Dance,92187,C,ACT,M,18,10,10:10,11:50,M       ,PFG,DANCE,Jean-Marie,Mellichamp,1
PEAC,199,Jogging for Fitness,92277,D,ACT,M,25,13,10:10,11:00,M  W     ,PFG,TRACK,Patricia,McLaughlin,1
