 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,195,Student Teaching,60659,A,L,M,999,1,TBA,,       ,,,Baribault,3
AGBI,201,General Biochemistry,60394,A,L,C,0,21,17:00,19:30,M T W R F   ,HILLS,017,Baribault,3  
AGBI,202,General Biochemistry Lab,60412,A,B,C,20,5,12:00,15:00,M T W R    ,HILLS,128,Baribault,1  
ANNB,301,Medical Gross Anatomy,60001,A,L,C,0,20,09:00,16:00,M T W R F   ,GIVN D,D417,Powers,8
ANNB,302,Human Neuroanatomy,60002,A,L,C,60,42,TBA,,       ,ROWELL,103,Freedman,4
ANTH,021,Human Cultures,60003,A,L,C,15,9,09:00,10:45,M T W R F   ,WILLMS,511,deBurlo,3  
ANTH,024,Prehistoric Archaeology,60004,A,L,C,18,8,09:00,10:45,M T W R F   ,104UHT,100,Wilson,3  
ANTH,060,Indians of the NE: Vermont,60005,A,L,C,30,13,19:00,21:00,M T W R F   ,104UHT,100,Wilson,3  
ANTH,197,Readings & Research,60563,A,T,M,1,1,TBA,,       ,,,Wilson,1 to 6
ART,001,Drawing,60006,A,O,C,26,23,16:00,18:45,M T W R F   ,WILLMS,416,Owre,3  
ART,002,Two-Dimensional Studies,60007,A,O,C,22,20,09:00,12:30,M T W R    ,WILLMS,305,Brennan,3  
ART,003,Three-Dimensional Studies,60008,A,O,C,15,8,09:30,11:30,M T W R F   ,WILLMS,207,Fry,3  
ART,004,Intro to Film/Video Production,60009,A,O,C,0,12,09:00,10:45,M T W R F   ,WILLMS,402,Ungerer,3  
ART,005,Western Art:Ancient - Medieval,60010,A,L,C,30,10,13:00,14:55,M T W R F   ,KALKIN,003,Mierse,3  
ART,095,Introduction to Ceramics,60011,A,O,C,20,24,09:00,10:45,M T W R F   ,WILLMS,106,Carter,3
ART,095,Introduction to Painting,60012,B,O,C,15,10,16:00,18:30,M T W R    ,WILLMS,213,Dye,3
ART,095,Introduction to Pastel,60013,C,O,C,16,13,09:00,11:30,M T W R    ,WILLMS,416,Dye,3
ART,095,Introduction to Photography,60014,D,O,C,12,12,09:00,11:00,M T W R    ,L/L-B,B101,Miller,3
ART,095,Intro Architectural Design,60015,E,O,C,20,13,13:00,15:45,M T W R F   ,WILLMS,305,Hannigan,3
ART,113,Clay: Hand Building,60016,A,O,C,20,9,09:00,11:00,M T W R F   ,WILLMS,106,Carter,3  
ART,137,Photography,60017,A,O,C,15,13,09:15,12:00,M T W R F   ,WILLMS,506,Higgins,3  
ART,138,Color Photography,60018,A,O,C,12,9,15:00,18:10, T W R F   ,WILLMS,506,Brennan,3  
ART,141,Sculpture:Modeling & Casting,60019,A,O,C,12,10,12:30,14:30,M T W R F   ,WILLMS,112,Fry,3  
ART,144,Computer Art,60020,A,O,C,20,15,15:30,17:30,M T W R F   ,WILLMS,418,Meyer,3  
ART,144,Computer Art,60591,WD,O,C,999,1,15:30,17:30,       ,,,,3  
ART,145,Graphic Design,60021,A,O,C,18,9,09:00,12:45,M T W R F   ,WILLMS,305,McIntyre,3  
ART,179,Issues in Contempory Art&Arch,60022,A,L,C,25,5,13:00,15:30,M T W R F   ,WILLMS,402,Hannigan,3  
ART,195,Paint from a Spiritual Center,60023,A,O,C,15,14,09:00,11:30,M T W R F   ,WILLMS,213,Davis,3
ART,195,Figure Drawing,60024,B,O,C,25,9,14:00,17:10, T W R    ,WILLMS,416,Thaler,3
ART,195,Healing Art,60026,C,O,C,15,11,17:00,20:30,  W     ,WILLMS,305,Davis,3
ART,196,Contemporary Feminist Art,60027,A,L,C,20,4,17:00,19:00,M T W R F   ,WILLMS,402,Fry,3
ART,196,Women in Art  1400 - 1900,60029,B,L,C,20,11,09:00,11:45,M T W R F   ,KALKIN,101,Fengler-St,3
ASCI,043,Fundamentals of Nutrition,60235,A,L,C,999,1,09:15,12:15,M T W R F   ,ROWELL,110,Carew,3  
ASCI,211,Summer Farm Management,60471,A,L,M,999,0,TBA,,       ,,,Staff,4  
ASCI,297,Spec Prob in Animal&Food Sci,60490,A,I,M,999,0,TBA,,       ,,,Staff,1 to 12
ASCI,297,Field Practicum,60506,B,L,M,999,1,TBA,,       ,,,Bramley,1 to 12
ASCI,297,Summer Coop Real Educ Agr Mgmt,60512,C,L,C,0,5,TBA,,       ,,,Gilmore,1 to 12
ASCI,491,Doctoral Dissertation Research,60551,A,T,M,999,1,TBA,,       ,,,Donnelly,1 to 12
BIOC,391,Master's Thesis Research,60480,A,T,C,999,0,TBA,,       ,,,Staff,1 to 12
BIOC,491,Doctoral Dissertation Research,60481,A,T,C,999,1,TBA,,       ,,,Staff,1 to 12
BIOL,001,Principles of Biology,60031,A,L,C,18,13,09:00,12:00, T  R    ,ML SCI,Y112,Schwartz,4
BIOL,001,Principles of Biology,60032,B,L,C,40,24,09:00,12:00, T  R    ,ML SCI,Y114,Olivetti,4
BIOL,001,Principles of Biology,60642,WD,L,C,999,1,09:00,12:00,       ,,,,4
BIOL,002,Principles of Biology,60033,A,L,C,20,20,09:00,12:00, T  R    ,ML SCI,Y114,Olivetti,4
BIOL,003,Human Biology,60034,A,L,C,25,20,08:00,11:00,M T W R F   ,ROWELL,242,Landesman,3  
BIOL,197,Undergraduate Research,60665,A,B,M,999,0,TBA,,       ,,,Landesman,3 or 6
BIOL,391,Master's Thesis Rsch,60507,A,T,M,999,0,TBA,,       ,,,Staff,1 to 10
BIOL,491,Doctoral Dissertation Rsch,60508,A,T,M,999,0,TBA,,       ,,,Staff,1 to 10
BOT,109,Field Botany,60035,A,L,C,20,15,09:00,12:00,M T W R F   ,HILLS,122,Barrington,4
BOT,295,Aquatic Botany/Lake Champlain,60036,A,L,C,20,10,08:00,17:00,M  W  F   ,ML SCI,131,Hoffmann,3
BOT,295,Methods for Field Ecologists,60317,IP1,L,C,14,10,09:00,17:00,M T W R F   ,,,Hughes,4
BSAD,017,Business Law,60037,A,L,C,999,4,17:30,20:55, T  R    ,KALKIN,001,Goldman,3  
BSAD,040,Information Technology & Mgmt,60039,A,L,C,14,5,09:00,11:30,M T W R F   ,KALKIN,004,Kraushaar,3
BSAD,040,Information Technology & Mgmt,60613,WD,L,C,999,1,09:00,11:30,       ,,,,3
BSAD,060,Financial Accounting,60040,A,L,C,40,15,12:00,14:40,M T W R F   ,KALKIN,003,Hunt III,4
BSAD,061,Managerial Accounting,60041,A,L,C,30,11,12:00,14:40,M T W R F   ,KALKIN,002,Dempsey,4
BSAD,095,Using Web/Internat'l Business,60319,A,L,C,20,15,18:45,20:30,M T W R    ,KALKIN,002,Averyt,2
BSAD,120,Mgmt & Organizational Behavior,60042,A,L,C,30,15,16:00,18:30,M T W R F   ,KALKIN,110,McIntosh,3
BSAD,132,Legal & Political Environment,60043,A,L,C,20,16,09:00,12:00,M T W R    ,KALKIN,002,Averyt,3  
BSAD,141,Mgmt Information Systems,60044,A,L,C,13,14,13:00,15:45,M T W R F   ,KALKIN,004,Kraushaar,3  
BSAD,161,Intermediate Accounting,60045,A,L,C,30,8,16:30,18:30,M T W R F   ,KALKIN,002,Hunt III,3  
BSAD,162,Intermediate Accounting,60046,A,L,C,30,7,16:30,18:30,M T W R F   ,KALKIN,002,Dempsey,3  
BSAD,173,Production&Operations Analysis,60047,A,L,C,999,8,09:30,12:15,M T W R F   ,KALKIN,001,Jesse,3  
BSAD,178,Quality Control,60048,A,L,C,30,20,09:00,12:30, T W R    ,KALKIN,003,Golann,3  
BSAD,180,Managerial Finance,60049,A,L,C,40,9,10:00,12:30,M T W R    ,KALKIN,001,Gatti,3  
BSAD,183,International Finance Mgmt,60050,A,L,C,30,4,13:00,15:45,M T W R F   ,KALKIN,001,Clark,3  
BSAD,194,Internship,60666,A,I,M,0,0,TBA,,       ,,,Staff,3  
BSAD,195,Local Area Networks,60051,A,L,C,0,12,15:30,18:00,M T W R F   ,KALKIN,004,Kraushaar,3
BSAD,197,Independent Study,60514,A,T,M,1,2,TBA,,       ,,,Brandenbur,1 to 6
BSAD,295,Contemp European Bus Issues,60321,B,L,C,30,10,17:00,20:30,M T W R    ,KALKIN,101,Karmasin,3
BSAD,295,Contemporary African Business,60322,C,L,C,30,8,08:00,17:00,M T W R F   ,KALKIN,110,Clark,3
BSAD,394,Independent Readings&Research,60491,A,T,C,999,2,TBA,,       ,,,Brandenbur,1 to 3
BSAD,395,Options & Futures,60458,B,L,C,30,5,16:30,19:30,M T W R    ,KALKIN,322,Gatti,3
CDAE,052,Intro Occ Ed & Hec,60545,Z1,L,C,999,1,TBA,,       ,,,Finck,3
CDAE,128,The Consumer & Advertising,60054,A,L,C,30,12,17:00,19:30,M T W R    ,69 UHT,100,Kolodinsky,3  
CDAE,159,Consumer Assistance Program,60055,A,L,C,12,3,TBA,,       ,MORRIL,002,Ashman,3 to 6
CDAE,166,Small Business Management,60334,A,L,C,30,10,18:00,21:15,M  W     ,ROWELL,110,Fife,3  
CDAE,196,Field Experience/Practicum,60057,A,L,C,0,2,TBA,,       ,,,Ferreira,1 to 15
CDAE,270,Educ Students with Spec Needs,60546,Z1,L,C,999,1,TBA,,       ,,,Finck,3  
CDAE,295,Comm Dev&Educ in Oaxca Mexico,60338,MX1,L,C,0,5,TBA,,       ,,,Teran,3
CDAE,296,Field Experience/Practicum,60058,A,I,C,0,1,TBA,,       ,,,Ferreira,1 to 15
CDAE,391,Master's Thesis Research,60548,A,T,M,999,1,TBA,,       ,,,Staff,1 to 18
CE,001,Statics,60061,A,L,C,48,4,08:00,10:00,M T W R    ,VOTEY,207,Downer,3
CE,002,CE Graphic Design,60062,A,L,C,25,9,17:00,20:15,   R    ,VOTEY,210A,Rossi,3
CE,002,CE Graphic Design,60562,WD,L,C,999,1,17:00,20:15,       ,,,,0 or 3
CE,391,Master Thesis Rsch,60578,A,T,C,999,0,TBA,,       ,,,Staff,1 to 12
CE,491,Doctoral Dissertation Research,60505,A,T,M,999,1,TBA,,       ,,,Dougherty,1 to 18
CHEM,031,Introductory Chemistry,60064,A,L,C,40,33,13:00,16:00,M T W     ,KALKIN,003,Sharp,4  
CHEM,032,Introductory Chemistry,60065,A,L,C,999,19,13:00,16:00,M T W     ,KALKIN,002,Sharp,0 or 4
CHEM,095,Intro Special Topics,60579,A,L,M,1,1,TBA,,       ,,,Sharp,3
CHEM,141,Organic Chemistry,60066,A,L,C,80,71,13:00,16:00,M T W     ,ANGELL,B106,Horn,4  
CHEM,142,Organic Chemistry,60067,A,L,C,999,70,13:00,16:00,M T W     ,ANGELL,B106,Horn,0 or 4
CHEM,143,Organic Chemistry for Majors,60395,A,L,C,999,6,09:00,12:00,M T W R F   ,ANGELL,B106,Horn,3  
CHEM,144,Organic Chemistry for Majors,60396,A,L,C,999,6,09:00,12:00,M T W R F   ,ANGELL,B106,Horn,3  
CHEM,291,Undergrad Research,60554,A,T,M,9,8,TBA,,       ,,,Jewett,1 to 4
CLBI,391,Master's Thesis Research,60534,A,T,M,999,0,TBA,,       ,,,Hacker,1 to 12
CLBI,491,Doctoral Dissertation Research,60497,A,T,M,999,3,TBA,,       ,,,Ullrich,1 to 12
CMSI,095,American Sign Language I,60397,A,L,C,12,7,17:00,20:30, T  R    ,104UHT,107,Straubhaar,3
CMSI,095,American Sign Language I,60398,B,L,C,12,8,17:00,20:30,M  W     ,104UHT,107,Straubhaar,3
CMSI,287,Early Lang Intrvn:Birth - 5yrs,60070,A,L,C,999,15,08:00,16:00,M T W R F   ,81 UHT,100,Baker,3  
CMSI,295,ST:Assessment in Augment Comm,60071,A,L,C,0,8,13:00,15:30,M T W R F   ,ALLEN,103,Favro,2
CMSI,295,Collab Intervn Schl Setting,60328,OO1,L,C,20,4,09:00,17:00,M T W R F   ,,,Prelock,3
CS,002,Microcomputer Appl Software,60075,A,L,C,0,20,09:00,12:00,M T W R F   ,KALKIN,004,Erickson,3
CS,021,Computer Programming I: Pascal,60076,A,L,C,0,10,09:00,11:00, T  R    ,VOTEY,367,Douglas,4
CS,026,Intro to C Programming,60079,A,L,C,20,11,13:00,15:00, T  R    ,VOTEY,367,Douglas,3  
CS,026,Intro to C Programming,60636,WD,L,C,999,1,13:00,15:00,       ,,,,3  
CS,095,Intro to Windows Programming,60081,A,L,C,0,13,09:00,12:00,M T W R F   ,KALKIN,004,Erickson,3
CS,095,Visual Basics,60501,B,L,C,999,6,08:00,12:00,     S  ,VOTEY,210A,Erickson,2
ECHD,005,Human Development,60083,A,L,C,30,17,09:30,12:15,M T W R F   ,L/L-A,A101,Shelton,3  
ECHD,152,Biology of Aging,60417,A,L,C,999,9,18:00,21:15, T  R    ,ROWELL,232,Machemer,3  
ECHD,152,Biology of Aging,60419,OO1,L,C,999,6,18:00,21:15, T  R    ,,,Machemer,3  
ECHD,200,Biology of Aging,60605,A,L,C,999,1,18:00,21:15, T  R    ,ROWELL,232,Machemer,3
ECHD,263,Advanced Child Development,60084,A,L,C,20,13,08:30,12:15,M T W R F   ,L/L-A,A101,Shelton,3  
ECHD,295,Thry&Pract of Reggio Approach,60087,B,L,C,15,17,09:00,16:00,M T W R F   ,L/L-A,A161,Goldhaber,3
ECHD,295,Special Topics in Sexuality,60590,ME1,L,C,0,2,08:30,17:00,  W R F   ,,,Cyprian,2
ECHD,296,Field Experience,60482,B,L,C,999,6,TBA,,       ,,,Shelton,1 to 15
ECON,011,Principles of Macroeconomics,60091,A,L,C,25,24,09:30,12:15,M T W R F   ,104UHT,106,Gedeon,3  
ECON,012,Principles of Microeconomics,60093,A,L,C,25,14,13:00,15:30,M T W R F   ,KALKIN,110,Rizvi,3  
ECON,195,Comparative Banking Systems,60095,A,L,C,20,11,09:00,12:45,M T W R F   ,104UHT,106,Gedeon,3  
ECON,195,Gender State & Econ Inequality,60097,B,L,C,15,14,10:00,12:45,M T W R F   ,104UHT,107,Saunders,3  
