 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,201,General Biochemistry,60357,Z1,L,C,30,10,08:00,10:00,M T W R    ,HILLS,,Harrington,3  
AGRI,195,Special Topics,60491,A,L,M,10,1,TBA,,       ,,,Foss,1 to 12
ANNB,301,Medical Gross Anatomy,60001,Z1,L,C,30,24,09:00,16:00,M T W R F   ,GIVN E,E401,Szilva,8
ANNB,302,Neuroscience,60002,Z1,L,C,100,37,13:00,17:00,M T W R F   ,GIVN E,E401,Parsons,4
ANTH,021,Human Cultures,60111,Z1,L,C,40,13,08:50,10:50,M T W R    ,WILLMS,403,Sheridan,3  
ANTH,021,Human Cultures,60371,Z2,L,C,50,13,09:00,11:05,M  W  F   ,WILLMS,301,Bodley,3  
ANTH,024,Prehistoric Archaeology,60226,Z1,L,C,25,4,13:00,16:45, T  R    ,WILLMS,511,Blom,3  
ANTH,128,Linguistic Anthropology,60358,Z1,L,C,25,20,10:00,14:45, T  R    ,WILLMS,403,Broce,3  
ANTH,195,Intro to Visual Anthropology,60359,Z2,L,C,12,2,10:00,15:00,M  W  F   ,WILLMS,403,Broce,3
ANTH,195,Intro Visual Anthropology,60472,Z3,L,C,12,2,10:00,12:00,M  W  F   ,WILLMS,403,Broce,4
ANTH,200,Field Work Prehist Archaeology,60129,Z1,L,C,20,9,08:00,16:30,M T W R F   ,WILLMS,511,Petersen,6
ANTH,295,Intro to Visual Anthropology,60360,Z1,L,C,12,2,10:00,15:00,M  W  F   ,WILLMS,403,Broce,3
ANTH,295,Intro Visual Anthropology,60473,Z3,L,C,12,1,10:00,12:00,M  W  F   ,WILLMS,403,Broce,4
ANTH,298,Advanced Readings & Research,60568,A,L,M,999,1,TBA,,       ,,,Blom,1 to 3
ANTH,298,Advanced Readings & Research,60603,B,L,M,1,1,TBA,,       ,,,Blom,3
ART,001,Drawing,60203,Z1,O,C,26,23,16:00,19:00,M T W R F   ,WILLMS,416,Owre,3  
ART,001,Drawing,60219,Z2,O,C,0,11,18:00,21:15, T W R    ,RT THR,210,Thaler,3  
ART,003,Three-Dimensional Studies,60234,Z1,O,C,15,15,09:00,12:00,M T W     ,WILLMS,207,McDevitt,3  
ART,004,Intro to Film/Video Production,60375,Z1,O,C,9,11,08:50,10:50,M T W R    ,LAFAYE,L307,Ungerer,3  
ART,095,Intro to Landscape Painting,60204,Z1,A,C,15,13,16:00,19:15, T  R    ,WILLMS,213,Dye,3
ART,095,Mixed Media with Pastel,60205,Z2,O,C,15,12,12:00,15:15, T  R    ,WILLMS,416,Dye,3
ART,095,Drawing in the Natural World,60253,Z3,O,C,12,5,08:00,12:00,M T W R F   ,HILLS,234,TeSelle,3
ART,095,Introduction to Ceramics,60368,Z4,O,C,10,19,08:50,10:50,M T W R    ,WILLMS,106,Carter,3
ART,095,Intro to Visual Anthropology,60386,Z5,O,C,12,1,10:00,15:00,M  W  F   ,WILLMS,403,Broce,3
ART,095,Introduction to Photography,60398,Z6,B,C,1,12,08:50,10:50,M T W R    ,L/L CM,218,VanAvery,3
ART,095,Intro Visual Anthropology,60474,Z7,O,C,12,1,10:00,12:00,M  W  F   ,WILLMS,403,Broce,4
ART,114,Clay: Wheel Throwing,60207,Z1,O,C,18,16,12:00,15:00,M T W R    ,WILLMS,106,Carter,3
ART,115,Intermediate Drawing,60312,Z1,O,C,15,7,08:00,11:15, T  R    ,WILLMS,416,Dye,3  
ART,116,Drawing From the Figure,60220,Z1,O,C,0,9,14:00,17:15, T W R    ,RT THR,210,Thaler,3  
ART,141,Sculpture,60235,Z1,O,C,15,8,13:00,16:00,M T W     ,WILLMS,116,McDevitt,3  
ART,142,Art from Scraps,60236,Z1,O,C,15,10,09:00,12:10, T  R    ,WILLMS,112,Haggart,3  
ART,145,Graphic Design,60208,Z1,O,C,15,15,08:00,12:30,M T W R F   ,WILLMS,304,McIntyre,3  
ART,195,Place Painting&Ecol Perception,60209,Z1,O,C,15,13,09:00,12:00,M T W R F   ,WILLMS,213,Davis,3
ART,195,Computer Art: Web Authoring,60383,Z3,O,C,15,10,17:00,20:00,M  W     ,WATERM,113T,Pollak,3
ART,197,Rdgs & Rsch:Tutorial in Studio,60527,A,T,M,1,1,TBA,,       ,,,Lyman,3  
ART,199,Artists Creative&Intimate Rels,60211,Z1,L,C,30,6,16:00,19:15, T  R    ,LAFAYE,L111,Stone,3  
ART,237,Advanced Photography,60213,Z1,O,C,15,11,10:00,12:45,M T W R F   ,WILLMS,305,Brennan,3  
ART,295,Place Painting & Ecol Percept,60574,Z1,O,C,1,0,09:00,12:00,M T W R F   ,WILLMS,213,Davis,3  
ASCI,043,Fundamentals of Nutrition,60003,Z1,L,C,12,5,09:00,12:00,M T W R F   ,ROWELL,110,Carew,3  
ASCI,196,Field Experience,60476,A,I,M,999,2,TBA,,       ,,,Staff,1 to 15
ASCI,197,Undergraduate Research,60479,A,T,M,999,1,TBA,,       ,,,Staff,1 to 3
ASCI,197,Undergraduate Research,60492,B,L,M,999,0,TBA,,       ,,,Plaut,1 to 3
ASCI,297,Summer CREAM,60417,Z1,L,C,15,6,TBA,,       ,,,Gilmore,4
ASCI,391,Master's Thesis Research,60477,A,T,M,999,0,TBA,,       ,,,Staff,1 to 9
ASCI,491,Doctoral Dissertation Research,60478,A,T,M,999,1,TBA,,       ,,,Staff,1 to 12
BIOC,491,Doctoral Dissertation Research,60539,A,T,M,999,2,TBA,,       ,,,Mann,1 to 12
BIOL,001,Principles of Biology,60109,Z1,L,C,40,34,08:30,12:00,M  W  F   ,ML SCI,105,Olivetti,4
BIOL,001,Principles of Biology,60171,Z2,B,C,20,16,08:30,12:00, T      ,ML SCI,Y114,Olivetti,0
BIOL,001,Principles of Biology,60172,Z3,B,C,20,17,13:00,16:30,   R    ,ML SCI,Y114,Olivetti,0
BIOL,002,Principles of Biology,60110,Z1,L,C,20,24,08:30,12:00, T  R    ,ML SCI,Y114,Olivetti,4
BIOL,003,Human Biology,60324,Z1,L,C,45,31,10:00,12:05,M  W  F   ,ML SCI,107,Mitchell,3  
BIOL,391,Master's Thesis Rsch,60460,A,T,M,999,1,TBA,,       ,,,VanHouten,1 to 10
BIOL,491,Doctoral Dissertation Rsch,60461,A,T,M,999,1,TBA,,       ,,,VanHouten,1 to 10
BMT,054,Principles of Microbiology,60238,Z1,L,C,26,19,16:00,20:00, T  R    ,ROWELL,244,Wilcke,4
BOT,109,Systematics & Phylogeny,60214,Z1,L,C,20,7,09:00,12:30,M T W R F   ,ML SCI,131,Barrington,4
BOT,197,Undergrad Research,60500,A,T,M,1,1,TBA,,       ,,,Barrington,4
BOT,295,Pract Rsch Meth Fld Ecologists,60273,SW1,L,C,16,13,08:00,20:00,M T W R F S U ,,,Hughes,0 to 6
BOT,295,Prac Rsch Meth Field Ecologist,60466,SW2,L,C,16,3,08:00,20:00,M T W R F S U ,,,Hughes,1
BOT,295,Prac Rsch Meth Field Ecologist,60610,SW3,L,C,1,0,TBA,,       ,,,Hughes,1
BOT,295,Plant Biol Mdl&High Sch Tchrs,60119,Z2,L,C,20,2,11:00,14:00,M T W R F   ,ML SCI,131,Olivetti,3
BOT,391,Master's Thesis Research,60482,A,T,M,999,1,TBA,,       ,,,Staff,1 to 10
BOT,491,Doctoral Dissertation Research,60483,A,T,M,999,1,TBA,,       ,,,Staff,1 to 10
BSAD,017,Business Law,60033,Z1,L,C,25,11,17:30,20:50, T  R    ,KALKIN,001,Kasper,3  
BSAD,018,Business Law,60034,Z1,L,C,25,16,17:30,21:00, T  R    ,KALKIN,001,Kasper,3  
BSAD,040,Information Technology & Mgmt,60035,Z1,L,C,15,5,09:00,11:45,M T W R F   ,KALKIN,101,Kraushaar,3
BSAD,060,Financial Accounting,60036,Z1,L,C,25,11,09:00,11:45,M T W R F   ,KALKIN,325,Dempsey,4
BSAD,061,Managerial Accounting,60040,Z1,L,C,25,14,09:00,11:50,M T W R F   ,KALKIN,002,Walker,4
BSAD,065,Fundamentals of Accounting,60041,Z1,L,C,25,3,09:00,11:15,M T W R F   ,KALKIN,002,Hunt III,4  
