 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGRI,002,Foundation:Information Tech,11547,A,L,M,100,90,12:30,13:45, T      ,ANGELL,B112,Leonard,3
AGRI,002,Foundation:Information Tech,11555,B,L,M,100,58,14:00,15:15,   R    ,FLEMIN,101,Leonard,3
AGRI,002,Foundation:Information Tech,11561,L01,B,M,20,9,09:05,11:00,M       ,WATERM,113Q,Leonard,0
AGRI,002,Foundation:Information Tech,11564,L02,B,M,20,20,14:30,16:30,M       ,MORRIL,005,Leonard,0
AGRI,002,Foundation:Information Tech,11566,L03,B,M,20,20,09:30,11:30, T      ,WATERM,113Q,Leonard,0
AGRI,002,Foundation:Information Tech,11569,L04,B,M,20,19,14:00,16:00, T      ,MORRIL,005,Leonard,0
AGRI,002,Foundation:Information Tech,11573,L05,B,M,20,16,09:05,11:00,  W     ,WATERM,113Q,Leonard,0
AGRI,002,Foundation:Information Tech,11575,L06,B,M,20,19,14:30,16:30,  W     ,MORRIL,005,Leonard,0
AGRI,002,Foundation:Information Tech,11589,L07,B,M,20,14,09:30,11:30,   R    ,WATERM,113Q,Leonard,0
AGRI,002,Foundation:Information Tech,11595,L08,B,M,20,13,14:00,16:00,   R    ,MORRIL,005,Leonard,0
AGRI,002,Foundation:Information Tech,11599,L09,B,M,20,2,09:05,11:00,    F   ,WATERM,113Q,Leonard,0
AGRI,002,Foundation:Information Tech,11602,L10,B,M,20,16,14:30,16:30,    F   ,MORRIL,005,Leonard,0
AGRI,085,Computer Applications,11608,A,L,M,40,37,12:30,13:45,   R    ,ANGELL,B112,Leonard,3
AGRI,085,Computer Applications,11611,A01,B,M,20,19,09:30,11:30, T      ,MORRIL,005,Leonard,0
AGRI,085,Computer Applications,11616,A02,B,M,20,18,09:05,11:00,    F   ,MORRIL,005,Leonard,0
AGRI,125,Teaching Assistant Development,11620,A,L,M,25,18,17:00,18:30,   R    ,MORRIL,005,Leonard,3
AGRI,183,Communication Methods,11627,A,L,M,60,58,14:30,17:30,  W     ,LAFAYE,L207,Patterson ,3
AGRI,196,Junior Honors Seminar,11632,A,L,M,16,9,16:00,17:45,M       ,MORRIL,010,Tessmann,2
AGRI,196,Junior Honors Seminar,12894,B,L,M,16,3,14:30,16:30,    F   ,MORRIL,010,Tessmann,2
AGRI,196,Dean's Seminar Speaker Series,11642,C,L,M,100,0,09:05,09:55,M    F   ,WILLMS,301,Johnson,0 to 12
AIS,095,SL:Cultural Exch Trip to Japn,12805,Z2,L,C,7,3,15:30,16:20,    F   ,L/L CM,315,Suzuki,3
AIS,096,Study Tour to Beijing,10488,A,L,M,10,5,TBA,,       ,,,Yin,1
AIS,096,The Global Village,12834,B,L,M,120,33,TBA,,       ,,,Mahoney,1
AIS,096,Travel Stdy Dominican Republic,12866,DR1,L,C,15,12,TBA,,       ,,,Devitt,2
AIS,096,Terrorism:An Asian Perspective,10256,WQ1,L,C,20,15,TBA,,       ,,,Ali,2
AIS,096,Terrorism: Asian Perspective,12925,WQ2,L,C,20,18,TBA,,       ,,,Ali,2
AIS,192,Internships,12934,A,I,M,5,1,TBA,,       ,,,McKenna,3
AIS,196,Regional Internat'l Org & Dem,12742,A,L,M,10,8,15:30,16:45, T  R    ,L/L CM,216,McMahon,3
AIS,196,Montreal:A Geog Approach,10025,Z1,L,C,25,1,17:30,20:30,  W     ,ROWELL,111,Deslaurier,3
AIS,196,Ancient Mesoamerica,12979,Z2,L,C,25,4,18:00,21:00,   R    ,LAFAYE,L100,Knight,3
ALAN,051,Intr to ALANA US Ethnic Stdies,10308,A,L,M,35,34,14:00,15:15, T  R    ,WILLMS,402,Gilley,3
ALAN,096,LGBT Works in Amer Theatre,10310,A,L,M,7,7,11:15,12:30,M  W     ,RT THR,210,Ramos,3
ALAN,295,Advanced Ethnic Studies,10075,Z1,L,C,20,9,17:30,20:30,  W     ,WILLMS,511,Gilley,3  
ALAN,297,Independent Study,13082,A,T,M,1,1,TBA,,       ,,,Whitfield,3
ANFS,395,ST:Food Safety&Public Policy,12691,A,L,M,30,4,13:30,16:00,M       ,LAFAYE,L207,Donnelly,1 to 4
