 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,201,General Biochemistry,60001,A,L,C,30,19,08:00,11:10,M T W R F   ,HILLS,017,Weller,3  
AGBI,391,Master's Thesis Research,60510,A,T,M,999,0,TBA,,       ,,,Currier,1 to 18
AGBI,491,Doctoral Dissertation Research,60511,A,T,M,999,0,TBA,,       ,,,Currier,1 to 12
ANNB,301,Medical Gross Anatomy,60002,A,L,C,0,11,09:00,16:00,M T W R F   ,GIVN D,D417,Powers,8
ANNB,302,Human Neuroanatomy,60009,A,L,C,0,50,TBA,,M T W R F   ,ROWELL,103,Freedman,0 or 4
ANTH,021,Human Cultures,60003,A,L,C,25,12,09:00,10:45,M T W R F   ,WILLMS,511,deBurlo,3  
ANTH,060,Indians of the NE: Vermont,60004,A,L,C,30,18,08:00,10:00,M T W R F   ,104UHT,100,Wilson,3  
ANTH,060,Indians of the NE: Vermont,60005,B,L,C,30,7,08:00,10:00,M T W R F   ,104UHT,100,Wilson,3  
ANTH,197,Readings & Research,60692,A,T,M,999,1,TBA,,       ,,,Wilson,1 to 6
ANTH,200,Field Work in Archaeology,60006,A,L,C,20,9,08:00,16:30,M T W R F   ,WILLMS,501,Petersen,6
ANTH,201,Practicum & Internship,60589,A,L,M,999,1,TBA,,       ,,,Fearon,1 to 12
ANTH,295,Nautical Archaeology Fld Schl,60272,A,L,C,0,1,08:30,16:30,M T W R F   ,AIKEN,116,Cohn,4
ART,001,Drawing,60007,A,O,C,26,15,16:00,19:00,M T W R F   ,WILLMS,416,Owre,3  
ART,002,Two-Dimensional Studies,60008,A,O,C,18,15,09:00,12:30,M T W R    ,WILLMS,305,Brennan,3  
ART,003,Three-Dimensional Studies,60011,A,O,C,15,9,09:30,12:00,M T W R F   ,WILLMS,207,Fry,3  
ART,004,Intro to Film/Video Production,60012,A,O,C,25,15,09:00,11:00,M T W R F   ,WILLMS,402,Ungerer,3  
ART,095,Introduction to Painting,60013,A,O,C,15,10,10:10,12:15,M T W R F   ,WILLMS,213,Dye,3
ART,095,Introduction to Ceramics,60014,B,O,C,20,18,09:00,11:00,M T W R F   ,WILLMS,106,Carter,3
ART,095,Introduction to Ceramics,60015,C,O,C,20,14,12:00,14:00,M T W R F   ,WILLMS,106,Carter,3
ART,095,Intro to Architectural Designq,60423,D,O,C,20,13,13:00,15:45,M T W R F   ,WILLMS,305,Hannigan,3
ART,095,Introduction to Painting,60707,E,O,M,99,0,TBA,,       ,,,Staff,3  
ART,132,Printmaking: Silkscreen,60016,A,O,C,15,15,09:00,12:00,M T W R F   ,WILLMS,309,Davison,3  
ART,137,Photography,60017,A,O,C,15,16,09:15,12:00,M T W R F   ,WILLMS,506,Higgins,3  
ART,138,Color Photography,60018,A,O,C,12,11,15:00,18:10, T W R F   ,WILLMS,506,Brennan,3  
ART,141,Sculpture,60019,A,O,C,15,10,09:30,12:25,M T W R F   ,WILLMS,112,Fry,3  
ART,164,Italian Renaissance Sculpture,60020,A,L,C,20,16,09:00,12:00,M T W R F   ,WILLMS,402,Fengler-St,3  
ART,195,Painting from Spiritual Center,60021,A,O,C,15,17,09:00,12:00,M T W R    ,WILLMS,213,Davis,3
ART,195,Intermediate Special Topics,60702,B,O,C,1,0,TBA,,       ,,,Carter,0 to 4
ART,196,Figure Drawing/Theatrical Dsgn,60360,A,L,C,25,6,16:00,19:30, T  R    ,WILLMS,416,Thaler,3
ART,213,Advanced Ceramics,60673,A,O,C,999,1,TBA,,       ,,,Carter,3
ART,295,Special Topics in Studio Art,60709,A,O,M,999,0,TBA,,       ,,,Fry,3  
ASCI,043,Fundamentals of Nutrition,60274,A,L,C,999,3,09:15,12:15,M T W R F S  ,ROWELL,110,Carew,3  
ASCI,297,Spec Prob in Animal&Food Sci,60581,A,L,M,999,1,TBA,,       ,,,Bramley,1 to 12
