 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,201,General Biochemistry,60564,A,L,C,20,4,17:00,20:30,M T W R    ,STAFFO,301,Harrington,3  
ANNB,301,Medical Gross Anatomy,60002,A,L,C,30,10,09:00,16:00,M T W R F   ,GIVN D,D417,Szilva,8
ANNB,302,Neuroscience,60003,A,L,C,999,28,09:00,17:00,M T W R F   ,ROWELL,103,Wells,4
ANTH,021,Human Cultures,60004,A,L,C,10,13,09:00,11:20,M T W R    ,WILLMS,511,Gordon,3  
ANTH,021,Human Cultures,60447,B,L,C,10,8,09:00,11:20,M T W R    ,WILLMS,511,Gordon,3  
ANTH,197,Readings & Research,60573,A,T,C,999,0,TBA,,       ,,,Haviland,1 to 6
ANTH,200,Field Work in Archaeology,60005,A,L,C,20,15,08:00,16:30,M T W R F   ,WILLMS,501,Petersen,6
ART,003,Three-Dimensional Studies,60006,A,O,C,15,14,09:15,12:30,M  W     ,WILLMS,207,Fry,3  
ART,004,Intro to Film/Video Production,60007,A,O,C,8,7,09:00,11:20,M T W R    ,BAILEY,001B,Ungerer,3  
ART,004,Intro to Film/Video Production,60448,B,O,C,7,4,09:00,11:20,M T W R    ,BAILEY,001B,Ungerer,3  
ART,095,Intro Architectural Design,60008,A,L,C,20,8,10:00,12:30,M T W R F   ,WILLMS,305,Hannigan,3
ART,095,Intro to Ceramics,60009,B,O,C,7,10,09:00,11:20,M T W R    ,WILLMS,113,Carter,3
ART,095,Intro to Landscape Painting,60010,C,O,C,15,13,16:15,19:30, T  R    ,WILLMS,213,Dye,0 to 3
ART,095,Intro to Pastel,60011,D,O,C,15,5,12:30,15:45, T  R    ,WILLMS,416,Dye,3
ART,095,Introduction to Photography,60319,E,O,C,6,7,09:00,11:20,M T W R    ,L/L-B,B102,Miller,3
ART,095,Introduction to Photography,60323,F,O,C,6,9,13:00,15:20,M T W R    ,L/L-B,B102,Miller,3
ART,095,Intro to Ceramics,60449,G,A,C,8,8,09:00,11:20,M T W R    ,WILLMS,113,Carter,3
ART,095,Introduction to Photography,60450,H,B,C,6,7,09:00,11:20,M T W R    ,L/L-B,B102,Miller,3
ART,095,Introduction to Photography,60476,I,B,C,6,4,13:00,15:20,M T W R    ,L/L-B,B102,Miller,3
ART,095,Intro to Landscape Painting,60627,WD,O,C,999,1,13:00,15:20,       ,,,,0 to 3
ART,095,Introduction to Photography,60726,WD2,O,C,999,0,13:00,15:20,       ,,,,3
ART,113,Clay: Hand Building,60012,A,O,C,15,9,09:00,12:15, T  R    ,WILLMS,113,Carter,3  
ART,116,Drawing From the Figure,60013,A,O,C,12,11,14:00,17:15, T W R    ,RT THR,210,Thaler,3  
ART,121,Painting,60015,A,O,C,15,11,17:30,20:45,M  W     ,WILLMS,213,Davis,3  
ART,137,Photography,60020,A,O,C,15,13,09:30,12:00,M T W R F   ,WILLMS,506,Higgins,3  
ART,141,Sculpture:Modeling & Casting,60016,A,O,C,15,5,09:15,12:30, T  R    ,WILLMS,112,Fry,3  
ART,141,Sculpture:Welding & Metal Fabr,60025,B,O,C,15,7,09:15,12:30,M  W     ,WILLMS,112,McDevitt,3  
ART,195,Electronic Arts Workshop,60018,B,O,C,15,9,18:00,21:15, T  R    ,WATERM,113T,Hannigan,3
ART,195,The Mentor Experience,60021,D,O,C,24,16,09:00,16:00,M T W R F   ,WILLMS,309,Davison,3
ART,195,Watercolor,60022,E,B,C,15,11,08:30,11:45, T  R    ,WILLMS,416,Dye,3
ART,196,Contemporary Feminist Art,60024,B,L,C,20,8,17:00,20:15,M  W     ,WILLMS,402,Fry,3
ART,196,Medieval & Renaissance Art,60026,EG1,L,C,14,11,TBA,,       ,,,Fengler-St,3
ART,196,Medieval & Renaissance Art,60686,WD,L,C,999,1,TBA,,       ,,,,3
ART,281,Advanced Studies in Studio Art,60584,A,O,M,999,2,TBA,,       ,,,Davison,3  
ASCI,043,Fundamentals of Nutrition,60398,A,L,C,999,1,09:00,12:00,M T W R F   ,ROWELL,110,Carew,3  
ASCI,298,Internship/Field Study,60526,A,L,M,999,4,TBA,,       ,,,Staff,0.5 to 1
ASCI,298,Spec Topics in Animal Science,60566,B,T,M,999,1,TBA,,       ,,,Staff,0.5 to 1
ASCI,391,Master's Thesis Research,60493,A,T,M,999,1,TBA,,       ,,,Staff,1 to 9
ASCI,491,Doctoral Dissertation Research,60494,A,T,M,999,0,TBA,,       ,,,Staff,1 to 12
BIOC,491,Doctoral Dissertation Research,60572,A,T,M,999,7,TBA,,       ,,,Mann,1 to 12
BIOL,001,Principles of Biology,60103,A,L,C,20,16,08:30,12:00, T  R    ,ML SCI,Y114,Olivetti,4
BIOL,002,Principles of Biology,60104,A,L,C,20,23,08:30,12:00, T  R    ,ML SCI,Y114,Olivetti,4
BIOL,003,Human Biology,60105,A,L,C,20,16,08:00,11:00,M T W R F   ,ROWELL,242,Landesman,3  
BIOL,197,Undergraduate Research,60580,A,L,M,999,0,TBA,,       ,,,Landesman,3 or 6
BMED,297,Undergraduate Research,60679,A,I,M,10,1,TBA,,       ,,,Reed,1 to 12
BMT,054,Principles of Microbiology,60107,A,L,C,25,22,16:00,20:00, T  R    ,ROWELL,244,Wilcke,4
BMT,110,Phlebotomy,60529,A,L,C,12,4,10:05,12:30,M T W     ,ROWELL,318,Jewett,0.5  
BMT,111,Phlebotomy,60530,A,B,C,12,4,10:00,12:30,M T W     ,ROWELL,318,Jewett,0.5  
BMT,299,Special Topics:Lab Techniques,60531,A,L,C,12,4,10:05,12:30,M T W     ,ROWELL,318,Jewett,4
BMT,391,Masters Thesis Research,60594,A,T,M,1,1,TBA,,       ,,,Huot,1 to 6
BOT,109,Field Botany,60108,A,L,C,20,10,09:00,12:00,M T W R F   ,ML SCI,131,Barrington,4
BOT,195,Vermont Forests&Native Plants,60328,A,L,C,15,12,09:00,18:00,M T W R F S  ,TORREY,303,Thompson,3
BOT,295,Aquatic Botany of Lake Champl,60109,A,L,C,15,8,08:00,16:00,M  W  F   ,ML SCI,131,Kirschtel,3
BOT,295,Plant Bio for Middle&High Schl,60110,B,L,C,999,6,13:00,16:00,M T W R F   ,ML SCI,131,Olivetti,3
BOT,295,Methods for Field Ecologists,60380,C,L,C,12,7,09:00,18:00,M T W R F   ,AIKEN,205,Hughes,3
BOT,295,Vermont Forests&Native Plants,60699,D,L,C,5,2,09:00,18:00,M T W R F   ,TORREY,303,Thompson,3
BSAD,017,Business Law I,60157,A,L,C,30,9,17:30,20:50, T  R    ,KALKIN,001,Kasper,3  
BSAD,018,Business Law II,60158,A,L,C,30,10,17:30,20:50, T  R    ,KALKIN,001,Kasper,3  
BSAD,040,Information Technology & Mgmt,60159,A,L,C,14,14,09:00,11:45,M T W R F   ,KALKIN,004,Kraushaar,3
BSAD,060,Financial Accounting,60160,A,L,C,30,17,09:00,12:20,M T W R F   ,KALKIN,002,Dempsey,4
BSAD,061,Managerial Accounting,60161,A,L,C,25,15,09:00,11:30,M T  R F   ,KALKIN,325,Walker,4
BSAD,065,Fundamentals of Accounting,60162,A,L,C,30,5,12:30,14:40,M T W R F   ,KALKIN,110,Hunt III,4  
BSAD,120,Mgmt & Organizational Behavior,60163,A,L,C,30,27,17:00,19:00,M T  R F   ,KALKIN,101,McIntosh,3
BSAD,132,Legal & Political Environment,60164,A,L,C,30,12,13:00,15:30,M T W R    ,KALKIN,004,Averyt,3  
BSAD,141,Mgmt Information Systems,60165,A,L,C,14,17,09:00,11:30,M T W R F   ,KALKIN,004,Kraushaar,3  
