 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,201,General Biochemistry,60041,Z2,L,C,25,22,09:00,12:00,M T W R F   ,HILLS,234,Currier,3  
AIS,091,Witches  Goblins & Ghosts,60014,Z1,L,C,15,1,09:00,11:00,M T W R    ,OMANEX,A500,McKenna,3  
AIS,095,Intro to Trad Chinese Medicine,60619,WD,L,C,1,0,09:00,11:00,       ,,,,3
AIS,095,Intro to Trad Chinese Medicine,60470,Z1,L,C,50,12,09:00,16:00,M T W R F   ,SOUTHW,,Ramsay,3
AIS,195,James Bay Field Course,60396,FL1,L,C,9,1,TBA,,M T W R F   ,,,McRae,3
AIS,295,Holocaust & Holocaust Educ,60384,Z2,L,C,25,2,08:00,16:30,M T W R F   ,LAFAYE,L308,Bernheim,3
ANNB,301,Medical Gross Anatomy,60017,Z2,L,C,30,18,09:00,16:00,M T W R F   ,GIVN E,E401,Ezerman,8
ANNB,302,Neuroscience,60015,Z1,L,C,50,7,09:00,17:00,M T W R F   ,HSRF,400,Parsons,4
ANTH,021,Human Cultures,60226,OL1,L,C,35,27,TBA,,       ,,,Houston,3  
ANTH,021,Human Cultures,60207,Z1,L,C,25,23,09:00,11:00,M T W R    ,WILLMS,403,Gordon,3  
ANTH,023,Anthropology Third World Dev,60229,Z1,L,C,20,8,18:00,20:30,M  W  F   ,LAFAYE,L200,deBurlo,3  
ANTH,095,Business Anthropology,60225,OL1,L,C,30,5,TBA,,       ,,,Dickinson,3
ANTH,179,Cultural Ecology,60178,Z1,L,C,20,3,09:00,12:00, T  R    ,LAFAYE,L200,deBurlo,3  
ANTH,195,James Bay Field Course,60400,FL1,L,C,9,6,TBA,,       ,,,McRae,3
ANTH,195,Introduction to Ethnobotany,60124,Z1,L,C,20,2,09:00,15:00,M  W  F   ,HILLS,017,Anderson,3
ANTH,195,Ethnobotany of New England,60126,Z2,L,C,20,1,09:00,15:00,M  W  F   ,AIKEN,119,Anderson,3
ANTH,195,Nonhuman Primates: A & M,60223,Z3,L,C,15,5,13:00,16:45, T  R    ,WILLMS,403,Blom,3
