 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
"ALAN","051","D1:Intr ALANA US Ethnic Stdies","60633","Z1","LEC","C","20","3","13:00","16:45","M    F   ","LAFAYE","L107","Diouf, Moustapha ","3"
"ALAN","095","American Identity 21st Century","61313","OL2","ONL","C","20","10","TBA","","       ","ONLINE","COURSE","Buyze, David ","3"
"ANFS","491","Doctoral Dissertation Research","60529","A","TD","M","10","4","TBA","","       ","","","Wright, Andre-Denis G.","1 to 18"
"ANNB","295","Human Gross Anatomy","61341","Z1","LCLB","C","46","39","14:31","16:30"," T W R    ","ONCMP","SEE NOTES","May, Victor ","6"
"ANPS","019","Ugr Hum Anatomy & Physiology","60103","Z1","LEC","C","86","22","09:00","12:45","M T W R    ","STAFFO","101","Beneyto-Santonja, Monica ","4"
"ANPS","020","Ugr Hum Anatomy & Physiology","60106","Z1","LEC","C","86","20","09:00","12:45","M T W R    ","STAFFO","101","Beneyto-Santonja, Monica ","4"
"ANPS","095","Lab for ANPS 019","61366","Z1","LAB","C","5","1","12:00","12:45","M T W R    ","ONCMP","SEE NOTES","Beneyto-Santonja, Monica ","1"
"ANPS","096","Lab for ANPS 020","61368","Z1","LAB","C","5","1","12:00","12:45","M T W R    ","ONCMP","SEE NOTES","Beneyto-Santonja, Monica ","1"
"ANTH","021","D2: Human Cultures","60820","OL1","ONL","C","20","15","TBA","","       ","ONLINE","COURSE","Steinberg, Jonah ","3"
"ANTH","021","D2: Human Cultures","60835","OL2","ONL","C","25","9","TBA","","       ","ONLINE","COURSE","Steinberg, Jonah ","3"
"ANTH","021","D2: Human Cultures","60818","Z1","LEC","C","20","6","13:00","15:45","M T W R    ","VOTEY","209","Eastman, Benjamin H.","3"
"ANTH","021","D2: Human Cultures","60819","Z2","LEC","C","19","18","09:00","11:45","M T W R    ","LAFAYE","L408","Mares, Teresa ","3"
"ANTH","024","D2: Prehistoric Archaeology","60821","OL1","ONL","C","20","17","TBA","","       ","ONLINE","COURSE","Van Keuren, Scott ","3"
"ANTH","026","Biological  Anthropology","60823","OL1","ONL","C","20","10","TBA","","       ","ONLINE","COURSE","Blom, Deborah Eileen","3"
"ANTH","028","D2: Linguistic Anthropology","60824","OL1","ONL","C","20","5","TBA","","       ","ONLINE","COURSE","Dickinson, Jennifer A.","3"
"ANTH","040","Parenting and Childhood","60825","OL1","ONL","C","20","11","TBA","","       ","ONLINE","COURSE","Blom, Deborah Eileen","2"
"ANTH","095","Nepal: Changing Communities","61223","TR1","LEC","C","15","4","TBA","","       ","TRAVEL","COURSE","McGowan, Abigail S.","6"
"ANTH","095","Doing Anthropology","61206","Z1","LEC","C","16","6","08:30","11:00","M T W R    ","LAFAYE","L302","Torrence, Corbett M","3"
"ANTH","095","Doing Anthropology","61018","Z2","LEC","C","20","6","15:30","18:00"," T  R    ","LAFAYE","L111","Torrence, Corbett M","3"
"ANTH","102","Anthropology of Sports","60827","OL1","ONL","C","20","17","TBA","","       ","ONLINE","COURSE","Eastman, Benjamin H.","3"
"ANTH","104","D2:Archaeology of the Americas","60828","OL1","ONL","C","20","8","TBA","","       ","ONLINE","COURSE","Van Keuren, Scott ","3"
"ANTH","142","Introduction to Syntax","60830","OL1","ONL","C","22","1","TBA","","       ","ONLINE","COURSE","Manetta, Emily ","3"
"ANTH","153","Gender in the Middle East","60831","OL1","ONL","C","20","6","TBA","","       ","ONLINE","COURSE","Smith, Elizabeth A.","3"
"ANTH","155","Anthropology of Islam","61245","OL1","ONL","C","20","8","TBA","","       ","ONLINE","COURSE","Steinberg, Jonah ","3"
"ANTH","188","Historical Archaeology","60832","OL1","ONL","C","20","3","TBA","","       ","ONLINE","COURSE","Beaupre, Andrew Robert","3"
"ANTH","200","Field Work in Archaeology","60834","Z1","LEC","C","15","6","08:00","16:30","M T W R F   ","MANN","205A","Crock, John Gordon","6"
"ARBC","001","Elementary Arabic I","61410","WD","LEC","C","15","1","08:00","16:30","       ","","","","4"
"ARBC","001","Elementary Arabic I","60304","Z1","LEC","C","15","11","13:00","16:45","M T W R    ","LAFAYE","L202","Jonathan, Darius ","4  "
"ARBC","002","Elementary Arabic II","61016","Z1","LEC","C","1","1","TBA","","       ","","","Jonathan, Darius ","4"
"ARTH","005","Western Art:Ancient - Medieval","60342","Z1","LEC","C","30","9","17:00","20:45"," T W R    ","LAFAYE","L302","Mierse, William Edwin","3"
"ARTS","001","Drawing","60117","Z1","STD","C","18","10","09:00","12:45","M T W R    ","WILLMS","416","Dye, Sean M.","3"
"ARTS","001","Drawing","60116","Z2","STD","C","18","15","13:00","16:45","M T W R    ","WILLMS","416","McDevitt, Margaret Kay","3"
"ARTS","003","Three-Dimensional Studies","60971","Z1","STD","C","15","8","09:00","12:45","M T W R    ","WILLMS","207","Haggart, Elizabeth Ann","3"
"ARTS","095","Jewelry Perspectives","60125","Z1","STD","C","14","9","09:00","12:45","M  W  F   ","WILLMS","202","Peters, Laurie M.","3"
"ARTS","114","Clay: Wheel Throwing","60119","Z1","STD","C","16","11","09:00","12:45","M T W R    ","WILLMS","106","Carter, Stephen Michael","3"
"ARTS","121","Painting","60120","Z1","STD","C","15","13","13:00","16:45","M T W R    ","WILLMS","213","Davis, Cameron ","3"
"ARTS","137","Photography","60960","Z1","STD","C","12","9","13:00","18:00"," T W R    ","WILLMS","415","Brennan, Thomas ","3"
"ARTS","195","Clay: Raku","60123","Z1","STD","C","15","11","16:30","20:15","M T W R    ","WILLMS","106","Carter, Stephen Michael","3"
"ASCI","297","You to the Zoo","61194","TR1","LEC","C","12","11","TBA","","       ","OFFCMP","SEE NOTES","Erickson, Patricia ","3"
"ASL","001","American Sign Language I","61411","WD","LEC","C","18","1","TBA","","       ","","","","4"
"ASL","001","American Sign Language I","60338","Z1","LEC","C","18","6","17:00","20:45","M T W R    ","LAFAYE","L300","Bearman, Sandra L.","4"
"ASL","001","American Sign Language I","60343","Z3","LEC","C","18","10","09:00","12:45","M T W R    ","TORREY","203","Bearman, Sandra L.","4  "
"ASL","001","American Sign Language I","60804","Z4","LEC","C","18","9","09:00","12:45","M T W R    ","LAFAYE","L300","Lynch, Alex ","4"
"ASL","002","American Sign Language II","60496","Z1","LEC","C","18","17","13:00","16:45","M T W R    ","LAFAYE","L302","Lynch, Alex ","4"
"ASTR","005","Exploring the Cosmos","60102","Z1","LEC","C","36","28","09:00","11:45","M T W R    ","ROWELL","118","Perry, John F.","3"
"ASTR","023","Astr Lab I:Measuring the Sky","60099","Z1","LAB","C","18","13","18:30","20:30","M  W     ","COOK","A418","Perry, John F.","1"
"ASTR","023","Astr Lab I:Measuring the Sky","60863","Z2","LAB","C","18","13","18:30","20:30"," T  R    ","COOK","A418","Perry, John F.","1"
"AT","190","Senior Clinical Experience I","61261","Z1","PRAC","C","4","1","TBA","","       ","","","Tourville, Kelly Johnson","6"
"BCOR","101","Genetics","60430","Z1","LEC","C","20","15","13:00","16:45"," T W R    ","JEFFRD","112","Yonan, Amanda ","3"
"BIOC","391","Master's Thesis Research","60253","A","TD","M","5","0","TBA","","       ","","","Tracy, Paula Babiarz","1 to 12"
"BIOC","491","Doctoral Dissertation Research","60257","A","TD","M","18","6","TBA","","       ","","","Tracy, Paula Babiarz","1 to 12"
"BIOL","001","Principles of Biology","60299","Z01","LAB","C","20","15","13:00","16:45","M  W     ","ML SCI","114","Bermingham, Laura Hill","0"
"BIOL","001","Principles of Biology","60300","Z02","LAB","C","20","15","13:00","16:45"," T  R    ","ML SCI","114","Bermingham, Laura Hill","0"
"BIOL","001","Principles of Biology","60298","Z1","LEC","C","40","30","09:00","12:45","M T W R    ","ROWELL","111","Bermingham, Laura Hill","4"
"BIOL","002","Principles of Biology","60302","Z01","LAB","C","20","14","13:00","16:45","M  W     ","ML SCI","114","Collins, Alexandra Robin","0"
"BIOL","002","Principles of Biology","60303","Z02","LAB","C","20","12","13:00","16:45"," T  R    ","ML SCI","114","Collins, Alexandra Robin","0"
"BIOL","002","Principles of Biology","60301","Z1","LEC","C","40","26","09:00","12:45","M T W R    ","ML SCI","105","Collins, Alexandra Robin","4"
"BIOL","003","Human Biology","60387","Z1","LEC","C","31","20","09:00","12:45"," T W R    ","ROWELL","102","Mitchell, John Joseph","3"
"BIOL","096","Human Biology Lab","60450","OL1","ONL","C","31","10","TBA","","       ","ONLINE","COURSE","Mitchell, John Joseph","1"
"BIOL","193","Internship in Biology","60848","Z1","INTN","C","5","0","TBA","","       ","","","Vigoreaux, Jim Osvaldo","3"
"BIOL","195","Biology Independent Study","61388","Z1","TD","C","1","1","TBA","","       ","","","Higgins, Linden Elizabeth","1"
"BIOL","381","Independent Research","61306","A","RSCH","M","10","2","TBA","","       ","","","VanHouten, Judith Lee","0 to 4"
"BIOL","491","Doctoral Dissertation Rsch","61386","A","TD","M","25","4","TBA","","       ","","","VanHouten, Judith Lee","1 to 10"
"BSAD","060","Financial Accounting","60246","Z1","LEC","C","40","16","09:00","11:45","M T W R    ","KALKIN","110","Arel, Barbara M.","3"
"BSAD","061","Managerial Accounting","60210","Z1","LEC","C","40","17","09:00","11:45","M T W R    ","KALKIN","003","Woodman, Martha ","3"
"BSAD","095","Bus Studies for Intl Stdnts","60212","Z1","LEC","C","40","10","14:30","17:00"," T  R    ","TERRIL","108","Chiang, Kevin ","3"
"BSAD","096","Business: A Changing World","61207","Z1","LEC","C","25","9","13:00","15:45","M T W R    ","LAFAYE","L300","Chittenden, Thomas Ira","3"
"BSAD","101","Business Savvy","60219","Z1","LEC","C","50","17","08:00","20:00","M T W R F S U ","ROWELL","103","Youndt, Mark ","6"
"BSAD","120","Prin Mgmt & Org Behavior","60230","Z1","LEC","C","40","7","13:00","15:30"," T W R    ","AIKEN","102","Jones, David A.","3"
"BSAD","150","Marketing Management","60232","Z1","LEC","C","40","6","09:00","13:30","M T W R F   ","KALKIN","002","Noordewier, Thomas Gerald","3"
"BSAD","162","Intermediate Accounting II","60528","Z1","LEC","C","40","9","09:00","11:45","M T W R    ","KALKIN","004","Dempsey, Stephen Jeffrey","3"
"BSAD","180","Managerial Finance","60235","Z1","LEC","C","40","21","13:00","15:45","M T W R    ","KALKIN","110","Dempsey, Stephen Jeffrey","3"
"BSAD","191","Strategy and Competition","60236","Z1","LEC","C","30","9","09:00","12:45","M  W  F   ","LAFAYE","L300","DeWitt, Rocki-Lee ","3"
