 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AIS,096,The Global Village,13248,A,L,M,115,35,TBA,,       ,ONCMP,SEE NOTES,Acquisto,1
AIS,096,Travel Study:DominicanRepublic,13266,TR1,L,C,16,16,TBA,,       ,OFFCMP,SEE NOTES,Devitt,2
AIS,096,Terrorism:An Asian Perspective,13250,WQ1,L,C,20,19,TBA,,       ,ONLINE,SEE NOTES,Ali,2
AIS,096,Terrorism:An Asian Perspective,13251,WQ2,L,C,20,19,TBA,,       ,ONLINE,SEE NOTES,Ali,2
AIS,096,Arch & Cult Hst Russ Capitals,13263,Z1,L,C,29,16,16:00,18:45,   R    ,WATERM,400,McKenna,3
AIS,096,The Global Village,13249,Z2,L,C,5,3,TBA,,       ,ONCMP,SEE NOTES,Acquisto,1
AIS,096,Introduction to Asian Theatre,13448,Z3,L,C,5,3,16:00,18:45, T      ,PERKIN,300,Kim,3
AIS,096,Concepts in Trad Chin Medicine,13845,Z4,L,C,20,17,16:00,18:45, T      ,L/L-A,A162,Ramsay,3
AIS,192,Internships,12972,A,I,M,10,0,TBA,,       ,,,Chan,1 to 6
AIS,192,Internships,13233,B,I,M,10,0,TBA,,       ,,,Martin,1 to 6
AIS,192,Internships,13234,C,I,M,10,0,TBA,,       ,,,Nalibow,1 to 6
AIS,192,Internships,13235,D,I,M,10,0,TBA,,       ,,,Nunley,1 to 6
AIS,192,Internships,13236,E,I,M,10,0,TBA,,       ,,,Beer,1 to 6
AIS,196,Canadian Political System,13887,Z1,L,C,25,0,17:30,20:15, T      ,LAFAYE,L403,Ayres,3
AIS,196,Arch & Cult Hst Russ Capitals,14648,Z3,L,C,29,9,16:00,18:45,   R    ,WATERM,400,McKenna,3
AIS,198,Readings & Research,13238,A,T,M,10,0,TBA,,       ,,,Chan,1 to 3
AIS,198,Readings & Research,13239,B,T,M,10,1,TBA,,       ,,,Martin,1 to 3
AIS,198,Readings & Research,13240,C,T,M,10,0,TBA,,       ,,,Nunley,1 to 3
AIS,198,Readings & Research,13241,D,T,M,10,0,TBA,,       ,,,Beer,1 to 3
AIS,198,Readings & Research,13242,E,T,M,10,2,TBA,,       ,,,Nalibow,1 to 3
AIS,296,Migration Mobility Transntlsm,14365,A,L,M,3,0,16:00,18:45, T      ,OMANEX,A200,Bose,3
AIS,296,Comp Lndscp Ecol&Consv:Scotlnd,13811,TR1,L,C,5,0,16:00,18:45,   R    ,KALKIN,300,Paradis,4
AIS,298,Advanced Readings & Research,13243,A,T,M,10,0,TBA,,       ,,,Chan,1 to 6
AIS,298,Advanced Readings & Research,13244,B,T,M,10,0,TBA,,       ,,,Martin,1 to 6
AIS,298,Advanced Readings & Research,13245,C,T,M,10,0,TBA,,       ,,,Nunley,1 to 6
AIS,298,Advanced Readings & Research,13246,D,T,M,10,0,TBA,,       ,,,Beer,1 to 6
AIS,298,Advanced Readings & Research,13247,E,T,M,10,0,TBA,,       ,,,Nalibow,1 to 6
ALAN,051,D1:Intr ALANA US Ethnic Stdies,14502,A,L,M,50,44,14:30,15:45, T  R    ,KALKIN,110,Rayman,3
ALAN,096,D1: Contemp US Latino/a,13877,A,L,M,10,6,16:05,19:05,  W     ,L/L-D,D107,Ramos,3
ALAN,296,D1: Race and Nation,13733,OL1,L,C,25,19,TBA,,       ,ONLINE,SEE NOTES,Gilley,3
ANFS,313,Food Safety and Public Policy,13033,A,L,M,20,3,12:50,15:50,M       ,ML SCI,357,Donnelly,3
ANFS,491,Doctoral Dissertation,10013,A,T,M,20,10,TBA,,       ,,,Harvey-Ber,1 to 18
ANNB,198,Undergrad Research,10376,A,T,M,10,0,TBA,,       ,,,Forehand,3 to 6
ANNB,295,Human Neuroanatomy,13305,A,L,M,15,8,10:00,11:15,   R    ,GIVN C,C443,Forehand,3
ANNB,302,Neuroscience,10397,A,L,M,45,41,09:35,11:30,M  W  F   ,ROWELL,111,Vizzard,4
ANNB,327,Responsble Conduct in Research,10396,A,L,M,30,22,16:00,17:15,   R    ,HSRF,400,Nishi,1
ANNB,329,Topics in Excitable Membranes,13306,A,L,M,25,0,TBA,,       ,ONCMP,SEE NOTES,Fiekers,2
ANNB,330,Comparative Neurobiology,13307,A,L,M,12,4,TBA,,       ,ONCMP,SEE NOTES,Mawe,2
ANNB,382,Sem in Anatomy & Neurobiology,11596,A,L,M,25,13,12:00,13:00, T      ,HSRF,400,Forehand,1
ANNB,491,Doctoral Dissertation Research,11599,A,T,M,20,1,TBA,,       ,,,Forehand,1 to 18
ANPS,020,Ugr Hum Anatomy & Physiology,11646,A,L,M,250,236,12:50,13:40,M  W  F   ,GIVN E,E131,Fiekers,4
ANTH,021,D2: Human Cultures,13862,A,L,M,145,148,13:00,14:15, T  R    ,FLEMIN,101,Ziegler-Ot,3
ANTH,021,D2: Human Cultures,13865,B,L,M,85,86,10:40,11:30,M  W  F   ,AIKEN,104,Shea,3
ANTH,021,D2: Human Cultures,14211,C,L,M,60,64,11:45,12:35,M  W  F   ,LAFAYE,L403,Holly,3
ANTH,021,D2: Human Cultures,13863,Z1,L,C,5,5,13:00,14:15, T  R    ,FLEMIN,101,Ziegler-Ot,3
ANTH,021,D2: Human Cultures,13866,Z2,L,C,5,5,10:40,11:30,M  W  F   ,AIKEN,104,Shea,3
ANTH,021,D2: Human Cultures,14222,Z4,L,C,40,41,19:00,21:45,   R    ,LAFAYE,L200,Ziegler-Ot,3
ANTH,024,D2: Prehistoric Archaeology,14213,A,L,M,145,144,15:00,15:50,M  W  F   ,WILLMS,301,Wesson,3
ANTH,024,D2: Prehistoric Archaeology,14215,Z1,L,C,5,6,15:00,15:50,M  W  F   ,WILLMS,301,Wesson,3
