 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,201,General Biochemistry,60443,Z1,L,C,25,15,09:00,12:00,M T  R F   ,STAFFO,101,Currier,3  
AGBI,202,General Biochemistry Lab,60444,Z1,L,C,14,8,12:30,15:30, T  R    ,HILLS,128,Jurkiewicz,1  
AIS,095,Mafiya&Capitalism-RussianStyle,60078,Z1,L,C,20,5,10:00,12:30,M  W  F   ,OMANEX,A500,McKenna,3
AIS,095,Geography of Canada,60081,Z2,L,C,25,1,17:00,20:00,M T W     ,LAFAYE,L403,Deslaurier,3
AIS,095,Pol & Cult Geog of India,60124,Z3,L,C,25,2,13:30,17:15, T  R    ,ROWELL,102,Bose,3
AIS,095,Prin of Self Cult in Chin Heal,60405,Z4,L,C,25,5,09:00,16:00,     S U ,L/L CM,315,Ryan,1
AIS,195,Ghana:Dis Prgm Hist&Cultural,60462,GH1,L,C,15,8,TBA,,       ,,,Bentil,3
AIS,196,Chinese Med: Culture & Phil,60439,Z2,L,C,20,8,08:00,11:00,M T W R F   ,L/L CM,216,Ryan,3
ALAN,195,Race&Ethn in Amer Lit& Culture,60344,Z1,L,C,18,4,12:00,16:00,M T W R F   ,ROWELL,115,Huh,3  
ANFS,491,Doctoral Dissertation,60635,A,T,M,10,1,TBA,,       ,,,Harvey-Ber,1 to 18
ANNB,201,Human Gross Anatomy,60511,Z1,L,C,55,49,09:00,12:00,M T W R F   ,GIVN C,C443,Mawe,5
ANNB,301,Medical Gross Anatomy,60341,Z1,L,C,30,12,09:00,17:00,M T W R F   ,HSRF,400,Ezerman,8  
ANNB,302,Neuroscience,60294,Z1,L,C,50,50,09:00,17:00,M T W R F   ,ROWELL,111,Parsons,4
ANNB,391,Master's Thesis Research,60632,A,T,M,10,0,TBA,,       ,,,Forehand,1 to 18
ANNB,491,Doctoral Dissertation Research,60633,A,T,M,10,5,TBA,,       ,,,Forehand,1 to 18
ANTH,021,Human Cultures,60034,Z1,L,C,30,11,09:00,12:45,M T W R F   ,WILLMS,402,Gordon,3  
ANTH,021,Human Cultures,60039,Z2,L,C,25,6,09:00,11:00,M T W R    ,LAFAYE,L207,Roy,3  
ANTH,024,Prehistoric Archaeology,60497,Z1,L,C,20,6,09:00,12:45, T  R    ,LAFAYE,L400,Torrence,3  
ANTH,095,Business Anthropology,60043,OL1,L,C,20,10,TBA,,       ,,,Dickinson,3
ANTH,095,Language and Mind,60500,OL2,L,C,25,14,TBA,,       ,,,Manetta,3
ANTH,187,Race and Ethnicity,60040,Z1,L,C,20,6,09:00,11:00,M T W R    ,LAFAYE,L308,Roy,3  
ANTH,195,Islam & Cultural Diversity,60499,OL3,L,C,25,22,TBA,,       ,,,Steinberg,3
ANTH,195,Vikings:Farmers Sailors Thieve,60042,Z3,L,C,20,12,13:30,17:15, T  R    ,DEWEY,212,McLaughlin,3
ANTH,195,Human Sexuality & Culture,60498,Z6,L,C,20,5,13:00,15:30,M T  R    ,LAFAYE,L400,Torrence,3
ANTH,197,Readings & Research,60694,Z1,T,C,1,1,TBA,,       ,,,Wesson,3
ANTH,200,Field Work in Archaeology,60036,AN1,L,C,15,7,07:30,16:00,M T W R F   ,,,Crock,6
ANTH,200,Field Work in Archaeology,60035,Z1,L,C,15,9,07:30,16:00,M T W R F   ,WILLMS,501,Wesson,6
ANTH,296,Art  History&Culture of Oaxaca,60448,MX1,L,C,15,1,TBA,,       ,,,Glesne,3
ARTH,005,Western Art:Ancient - Medieval,60321,Z1,L,C,25,5,17:00,20:30,    F   ,LAFAYE,L302,Mierse,3  
ARTH,096,Ways of Seeing: Film as Art,60483,OL1,L,C,15,2,TBA,,       ,,,Ungerer,1
ARTH,170,Modern Sculpture,60302,Z1,L,C,25,8,13:30,17:15, T  R    ,WILLMS,402,Stone,3  
ARTS,001,Drawing,60316,Z1,O,C,25,7,09:00,14:00,M  W  F   ,WILLMS,416,Warren,3  
ARTS,003,Three-Dimensional Studies,60318,Z1,O,C,15,9,09:00,13:00,M T W R F   ,WILLMS,207,Fry,3  
ARTS,095,Jewelry Perspectives,60304,Z1,A,C,12,8,09:00,13:00,M T W R F   ,WILLMS,202,Peters,3
ARTS,095,Large Scale Drawing,60328,Z3,O,C,15,6,09:00,13:00,M T W R    ,WILLMS,416,McDevitt,3
ARTS,095,Drawing & Painting Botanicals,60604,Z4,O,C,15,8,09:00,12:00,M T W     ,WILLMS,305,Neroni,3
ARTS,114,Clay: Wheel Throwing,60296,Z1,O,C,15,4,09:00,12:15,M T W R    ,WILLMS,106,Carter,3  
ARTS,115,Intermediate Drawing,60326,BU1,O,C,8,2,12:00,14:00,   R    ,,,Dye,3  
ARTS,121,Painting,60303,Z1,O,C,18,9,09:00,13:00,M T W R F   ,WILLMS,213,Davis,3  
ARTS,138,Color Photography,60295,Z1,O,C,10,8,13:30,15:30, T  R    ,,,Brennan,3  
ARTS,191,Internship: Field Experience,60711,Z1,L,C,5,0,TBA,,       ,,,McDowell,3  
ARTS,195,Raku,60297,Z1,O,C,15,6,09:00,12:00,M T W R    ,WILLMS,106,Carter,3
ASCI,043,Fundamentals of Nutrition,60353,OL1,L,C,15,0,TBA,,       ,,,Paradis,3  
ASCI,043,Fundamentals of Nutrition,60356,OL2,L,C,15,0,TBA,,       ,,,Paradis,3  
ASCI,134,CREAM,60674,Z1,L,C,7,4,09:00,11:00,M T W R F S U ,MRC,EQ CTR,McFadden,4  
ASCI,135,CREAM,60676,Z1,L,C,7,3,09:00,11:00,M T W R F S U ,MRC,EQ CTR,McFadden,4  
ASCI,391,Master's Thesis Research,60634,A,T,M,10,0,TBA,,       ,,,McFadden,1 to 9
ASCI,491,Doctoral Dissertation Research,60637,A,T,M,10,0,TBA,,       ,,,Staff,1 to 12
ASTR,005,Exploring the Cosmos,60319,Z1,L,C,20,9,10:00,12:15,M T W R    ,LAFAYE,L411,Perry,3  
BIOC,391,Master's Thesis Research,60615,A,T,M,10,0,TBA,,       ,,,Staff,1 to 12
BIOC,491,Doctoral Dissertation Research,60616,A,T,M,10,9,TBA,,       ,,,Staff,1 to 12
BIOL,001,Principles of Biology,60267,Z1,L,C,40,28,08:30,12:00,M  W  F   ,LAFAYE,L300,Hoffmann,4
BIOL,001,Principles of Biology,60427,Z2,B,C,20,17,08:30,12:00, T  R    ,ML SCI,114,Hoffmann,0
BIOL,001,Principles of Biology,60428,Z3,B,C,20,11,13:00,16:30, T  R    ,ML SCI,114,Hoffmann,0
BIOL,002,Principles of Biology,60268,Z1,L,C,40,24,08:30,12:00,M  W  F   ,KALKIN,110,van den Be,4
BIOL,002,Principles of Biology,60712,Z2,B,C,20,16,08:30,12:00, T  R    ,ML SCI,114,van den Be,0
BIOL,002,Principles of Biology,60713,Z3,B,C,20,8,13:00,16:30, T  R    ,ML SCI,114,van den Be,0
BIOL,297,Advanced Undergraduate Rsrch,60720,Z1,I,C,1,1,TBA,,       ,,,Schall,3
BIOL,381,Independent Study: HELiX,60679,Z1,L,C,5,1,TBA,,       ,,,Bress,0 to 4
BIOL,391,Master's Thesis Rsch,60638,A,T,M,10,0,TBA,,       ,,,Staff,1 to 10
BIOL,491,Doctoral Dissertation Rsch,60639,A,T,M,10,5,TBA,,       ,,,Staff,1 to 10
BOT,109,Systematics & Phylogeny,60386,Z1,L,C,20,10,09:00,12:30,M T W R F   ,ML SCI,131,Barrington,4
BOT,195,Medicinal Plants,60442,Z1,L,C,20,11,14:00,16:00,M  W  F   ,ML SCI,131,Combest,3
