 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
ALAN,095,Race & Ethnicity Literary Stds,60315,Z1,L,C,25,3,10:00,12:05,M  W  F   ,LAFAYE,L100,Sachs,3  
ALAN,297,Independent Study,60708,A,L,M,1,1,TBA,,       ,,,Grinde Jr.,3  
ANNB,301,Medical Gross Anatomy,60018,Z1,L,C,30,24,09:00,16:00,M T W R F   ,GIVN E,E401,Szilva,8
ANNB,302,Neuroscience,60020,Z1,L,C,50,8,09:00,17:00,M T W R F   ,ROWELL,103,Parsons,4
ANTH,021,Human Cultures,60271,DL1,L,C,20,12,TBA,,       ,,,Sheridan,3  
ANTH,021,Human Cultures,60100,Z1,L,C,40,24,08:50,10:50,M T W R    ,WILLMS,403,Houston,3  
ANTH,200,Field Work in Archaeology,60378,Z1,L,C,16,13,08:00,17:00,M T W R F   ,WILLMS,511,Petersen,6
ANTH,200,Field Work in Archaeology,60382,Z2,L,C,16,7,08:00,16:30,M T W R F   ,WILLMS,403,Crock,6
ANTH,201,Practicum & Internship,60611,Z1,I,C,1,1,08:00,17:00,M T W R F   ,,,Petersen,1 to 12
ANTH,295,Field Methods in Env Research,60282,Z1,L,C,6,3,12:00,16:00,    F   ,,,Paradis,3
ART,001,Drawing,60380,Z2,O,C,26,18,08:30,12:00,M T W R    ,WILLMS,416,McDevitt,3  
ART,003,Three-Dimensional Studies,60370,Z1,O,C,15,13,09:00,12:00,M T  R    ,WILLMS,207,Haggart,3  
ART,003,Three-Dimensional Studies,60494,Z2,O,C,15,10,09:00,12:00, T  R    ,WILLMS,207,Warren,3  
ART,004,Intro to Film/Video Production,60397,Z1,O,C,16,17,08:50,10:50,M T W R    ,LAFAYE,L307,Ungerer,3  
ART,005,Western Art:Ancient - Medieval,60406,Z1,L,C,35,20,17:00,20:45,M T W R F   ,LAFAYE,L302,Mierse,3  
ART,095,How to Draw What You See,60252,Z1,A,C,12,11,18:15,21:30, T W R    ,RT THR,210,Thaler,3
