 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,198,Undergraduate Research,11595,A,B,M,10,0,TBA,,       ,,,Vogelmann,1 to 3
AGBI,202,General Biochemistry Lab,11605,A,B,M,14,6,13:10,16:00, T      ,HILLS,128,Currier,1  
AGBI,202,General Biochemistry Lab,11610,B,B,M,14,11,13:25,16:25,M       ,HILLS,128,Currier,1  
AGBI,250,Plant Biochemistry,11627,A,L,M,10,3,08:00,09:15, T  R    ,ROWELL,115,Currier,2  
AGBI,295,Special Topics,11631,A,B,M,10,0,TBA,,       ,HILLS,,Vogelmann,1 to 12
AGRI,085,Computer Applications,11446,A,L,M,40,33,14:00,15:15,   R    ,HILLS,234,Leonard,3
AGRI,085,Computer Applications,11449,A01,B,M,20,17,09:25,11:30, T      ,MORRIL,005,Leonard,0
AGRI,085,Computer Applications,11451,A02,B,M,20,16,09:05,11:00,    F   ,MORRIL,005,Leonard,0
AGRI,125,Teaching Assistant Development,11456,A,L,M,25,16,17:00,18:30,   R    ,MORRIL,005,Leonard,3  
AGRI,183,Communication Methods,11461,A,L,M,90,67,17:00,20:00,  W     ,LAFAYE,L207,Lauber,0 or 3
AGRI,195,Special Topics,12630,A,L,M,10,2,TBA,,       ,,,Leonard,3
AGRI,196,Foundations Information Tech,11466,A,L,M,92,90,13:25,14:15,M       ,LAFAYE,L108,Leonard,3
AGRI,196,Foundations Information Tech,11469,B,L,M,93,40,10:10,11:00,  W     ,LAFAYE,L108,Leonard,3
AGRI,196,Foundations Information Tech,11472,B01,B,M,20,14,09:05,11:00,M       ,WATERM,113Q,Leonard,0
AGRI,196,Foundations Information Tech,11476,B02,B,M,20,20,14:30,16:30,M       ,MORRIL,005,Leonard,0
AGRI,196,Foundations Information Tech,11483,B03,B,M,20,17,09:30,11:30, T      ,WATERM,113Q,Leonard,0
AGRI,196,Foundations Information Tech,11485,B04,B,M,20,20,14:00,16:00, T      ,MORRIL,005,Leonard,0
AGRI,196,Foundations Information Tech,11488,B05,B,M,20,3,09:05,11:00,  W     ,WATERM,113Q,Leonard,0
AGRI,196,Foundations Information Tech,11490,B06,B,M,5,5,14:30,16:30,  W     ,MORRIL,005,Leonard,0
AGRI,196,Foundations Information Tech,11492,B07,B,M,20,10,09:30,11:30,   R    ,WATERM,113Q,Leonard,0
AGRI,196,Foundations Information Tech,11493,B08,B,M,20,16,14:00,16:00,   R    ,MORRIL,005,Leonard,0
AGRI,196,Foundations Information Tech,11494,B09,B,M,20,5,09:05,11:00,    F   ,WATERM,113Q,Leonard,0
AGRI,196,Foundations Information Tech,11495,B10,B,M,20,20,14:30,16:30,    F   ,MORRIL,005,Leonard,0
AGRI,196,Foundations Honors Info Tech,11531,C,L,M,20,18,14:30,16:30,  W     ,MORRIL,005,Leonard,3
AGRI,196,First Year Honors Colloquium,11558,D,L,M,16,16,TBA,,       ,,,Stratton,0 to 12
AGRI,196,Second Year Honors Colloquium,11572,E,L,M,16,13,TBA,,       ,,,Stratton,3
AGRI,196,Third Year Honors Colloquium,11585,F,L,M,16,6,TBA,,       ,,,Stratton,1
AIS,095,People Power in Emerging Democ,12546,A,L,M,40,21,15:30,16:45, T  R    ,MORRIL,010,McMahon,3
AIS,095,Mafia&Capitalism-Russian Style,10068,Z1,L,C,20,20,16:00,19:00,   R    ,ROWELL,118,McKenna,3
AIS,196,STEP:The Aesthetics of Japan,10953,A,L,M,22,7,17:00,18:15,  W     ,LAFAYE,L100,Kala,3
AIS,196,The Way of the Samurai,10997,B,L,M,22,3,17:00,18:15, T  R    ,LAFAYE,L111,Kala,3
AIS,196,Individ & Commun Devel in Cult,12766,C,L,M,15,2,17:00,18:30, T      ,DEWEY,100,Bond,1 to 3
AIS,196,Anc Mesoamerica:Olmexs-Aztez,10128,Z1,L,C,30,2,18:00,21:00,   R    ,LAFAYE,L100,Knight,3
AIS,296,Individ & Commun Devel in Cult,12767,A,L,M,15,2,17:00,18:30, T      ,DEWEY,100,Bond,1 to 3
ALAN,096,African American Woman Writers,11881,A,L,M,5,10,11:00,12:15, T  R    ,L/L-B,B132,Bernard,3  
ALAN,096,African American Women Writers,11889,B,L,M,5,6,14:00,15:15, T  R    ,CARRIG,011,Bernard,3  
ALAN,096,STEP:Racism & American Culture,11894,C,L,M,15,14,11:00,12:15, T  R    ,LAFAYE,L200,Searls,3  
ALAN,296,Unequal Sisters,12450,A,L,M,2,2,15:35,18:25,  W     ,LAFAYE,L307,Gustafson,3  
ALAN,296,Latino Immigra:Comparative Soc,12644,B,L,M,18,6,12:20,13:10,M  W  F   ,31 SPR,100,Macias,3  
ANNB,198,Undergrad Research,12428,A,T,M,10,0,TBA,,       ,,,Forehand,3 to 6
ANNB,202,Human Neuroscience,12429,A,L,M,35,16,09:00,12:00, T  R    ,GIVN E,E401,Vizzard,5  
ANNB,306,Techniques in Neurobiology,12430,A,L,M,10,0,TBA,,       ,GIVN E,,Fiekers,3  
ANNB,342,Spec Dissections in Gross Anat,12431,A,B,M,10,0,TBA,,       ,GIVN E,,Fonda,1 to 12
ANNB,382,Sem in Anatomy & Neurobiology,12432,A,L,M,10,6,TBA,,       ,GIVN E,,Mawe,1  
ANNB,395,ST:Being Scien:Respon Cond Res,12433,A,L,M,25,16,16:00,17:30,   R    ,HSRF,400,Nishi,2
ANNB,491,Doctoral Dissertation Research,12434,A,T,M,10,5,TBA,,       ,GIVN E,,Forehand,1 to 18
ANPS,020,Ugr Hum Anatomy & Physiology,12418,A,L,M,235,208,12:20,13:10,M  W  F   ,GIVN E,E131,Cornbrooks,4
ANPS,020,Ugr Hum Anatomy & Physiology,12420,A01,B,M,30,26,09:05,11:55,M       ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,12421,A02,B,M,30,29,14:00,16:50, T      ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,12422,A03,B,M,30,30,18:30,21:20, T      ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,12423,A04,B,M,30,30,09:05,11:55,  W     ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,12424,A05,B,M,25,23,14:30,17:20,  W     ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,12425,A06,B,M,30,22,09:00,11:50,   R    ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,12426,A07,B,M,30,30,14:00,16:50,   R    ,ROWELL,111,Low,0
ANPS,020,Ugr Hum Anatomy & Physiology,12427,A08,B,M,30,18,09:05,11:55,    F   ,ROWELL,111,Low,0
ANTH,021,Human Cultures,10745,A,L,M,75,76,12:20,13:10,M  W  F   ,WATERM,413,Holly,3  
ANTH,021,Human Cultures,10751,B,L,M,75,77,11:00,12:15, T  R    ,WATERM,427,Torsch,3  
ANTH,021,Human Cultures,10121,Z1,L,C,35,37,18:00,21:00, T      ,WILLMS,403,Torsch,3  
ANTH,024,Prehistoric Archaeology,10753,A,L,M,80,80,14:00,15:15, T  R    ,WATERM,413,Crock,3  
ANTH,026,Biological  Anthropology,10754,A,L,M,80,81,11:15,12:05,M  W  F   ,LAFAYE,L207,Blom,3  
ANTH,064,STEP:Native Americans of VT,10757,A,L,M,26,32,09:30,10:45, T  R    ,LAFAYE,L102,Petersen,3  
ANTH,064,Native Americans of Vermont,10123,Z1,L,C,35,27,17:00,20:00,  W     ,WILLMS,403,Nepton,3  
ANTH,162,Cultures of Africa,10762,A,L,M,50,47,11:00,12:15, T  R    ,ROWELL,118,Gordon,3  
ANTH,179,Cultural Ecology,10767,A,L,M,50,44,09:30,10:45, T  R    ,DEWEY,314,Sheridan,3  
ANTH,187,Race and Ethnicity,10769,A,L,M,50,50,13:25,14:15,M  W  F   ,TERRIL,108,Shea,3  
ANTH,188,Historical Archaeology,10773,A,L,M,41,29,08:00,09:15, T  R    ,LAFAYE,L102,Petersen,3  
ANTH,189,Aging in Cross-Cultural Persp,10129,OL1,L,C,12,10,TBA,,       ,,,Nelson,3  
