 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AIS,096,The Global Village,11494,A,L,M,115,22,TBA,,       ,,,Mahoney,1
AIS,096,Travel Study: Dominican Repub,13303,DR1,L,C,12,7,TBA,,       ,ABROAD,SEE NOTES,Devitt,2
AIS,096,Terrorism:An Asian Perspective,11447,WQ1,L,C,20,13,TBA,,       ,ONLINE,SEE NOTES,Ali,2
AIS,096,Terrorism:An Asian Perspective,13149,WQ2,L,C,20,14,TBA,,       ,ONLINE,SEE NOTES,Ali,2
AIS,096,Mafia & Capitalism Russ Style,11458,Z2,L,C,22,20,16:30,18:45,   R    ,WATERM,455,McKenna,3
AIS,096,The Global Village,12868,Z3,L,C,5,0,TBA,,       ,,,Mahoney,1
AIS,192,Internships,13339,A,I,M,1,1,TBA,,       ,,,Martin,1 to 6
AIS,196,People Power in Emerging Democ,11482,A,L,M,36,2,11:00,12:15, T  R    ,L/L CM,315,McMahon,3
AIS,196,PBLC: Women of Juarez,12836,B,L,M,25,3,19:00,20:00, T      ,OLDMIL,523,Beer,1
AIS,196,The Canadian Political System,12407,Z1,L,C,20,1,17:00,20:00,M       ,LAFAYE,L311,Ayres,3
AIS,196,Montreal: A Geographic Approac,13030,Z2,L,C,25,0,17:30,20:30,  W     ,OMANEX,A207,Deslaurier,3
AIS,296,Embodied Geographies,12427,A,L,M,10,1,15:30,18:30,  W     ,OMANEX,A202,Elder,3
ALAN,051,D1:Intr ALANA US Ethnic Stdies,10929,A,L,M,35,29,15:30,16:45, T  R    ,LAFAYE,L111,Mello,3
ALAN,296,D1:Race and Nation,11172,OL1,L,C,15,14,TBA,,       ,ONLINE,SEE NOTES,Gilley,3
ANFS,395,Food Safety & Public Policy,10007,A,L,M,20,2,13:30,16:00,M       ,ML SCI,357,Donnelly,3
ANFS,491,Doctoral Dissertation,10003,A,T,M,20,11,TBA,,       ,,,Harvey-Ber,1 to 18
ANNB,198,Undergrad Research,10413,A,T,M,10,0,TBA,,       ,,,Forehand,3 to 6
ANNB,295,Human Neuroanatomy,10424,A,L,M,15,11,09:30,10:45, T  R    ,HSRF,400,Forehand,3
ANNB,302,Neuroscience,10439,A,L,M,40,30,09:05,11:00,M  W  F   ,ROWELL,111,Vizzard,4
ANNB,320,Developmental Neurobiology,10434,A,L,M,12,6,14:00,15:15, T  R    ,HSRF,300,Nishi,3
ANNB,327,Responsble Conduct in Research,10437,A,L,M,25,28,16:00,17:15, T      ,HSRF,400,Nishi,1
ANNB,328,Neuro Tech Optical Microscopy,10441,A,L,M,10,8,13:30,15:00,M  W     ,HSRF,400,Clason,3
ANNB,382,Sem in Anatomy & Neurobiology,11796,A,L,M,25,9,12:00,13:00, T      ,HSRF,400,Forehand,1
ANNB,491,Doctoral Dissertation Research,11799,A,T,M,20,2,TBA,,       ,,,Forehand,1 to 18
ANPS,020,Ugr Hum Anatomy & Physiology,11849,A,L,M,200,211,12:20,13:10,M  W  F   ,GIVN E,E131,Fiekers,4
ANPS,020,Ugr Hum Anatomy & Physiology,11867,A01,B,M,20,20,09:05,11:55,M       ,ROWELL,032,Fiekers,0
ANPS,020,Ugr Hum Anatomy & Physiology,11879,A02,B,M,20,21,11:00,13:50, T      ,ROWELL,032,Fiekers,0
ANPS,020,Ugr Hum Anatomy & Physiology,11883,A03,B,M,20,26,18:30,21:20, T      ,ROWELL,032,Fiekers,0
ANPS,020,Ugr Hum Anatomy & Physiology,11885,A04,B,M,20,25,09:05,11:55,  W     ,ROWELL,032,Fiekers,0
ANPS,020,Ugr Hum Anatomy & Physiology,11887,A05,B,M,20,24,14:30,17:20,  W     ,ROWELL,032,Fiekers,0
ANPS,020,Ugr Hum Anatomy & Physiology,11889,A06,B,M,20,23,18:30,21:20,  W     ,ROWELL,032,Fiekers,0
ANPS,020,Ugr Hum Anatomy & Physiology,11890,A07,B,M,20,21,09:30,12:20,   R    ,ROWELL,032,Fiekers,0
ANPS,020,Ugr Hum Anatomy & Physiology,11892,A08,B,M,20,27,14:00,16:50,   R    ,ROWELL,032,Fiekers,0
ANPS,020,Ugr Hum Anatomy & Physiology,11900,A09,B,M,20,24,09:05,11:55,    F   ,ROWELL,032,Fiekers,0
ANPS,096,UG Human Anat & Physiol Lectur,11906,A,L,M,50,13,12:20,13:10,M  W  F   ,GIVN E,E131,Fiekers,3
ANTH,021,D2: Human Cultures,11589,A,L,M,147,147,15:30,16:45, T  R    ,WILLMS,301,Smith,3
ANTH,021,D2: Human Cultures,11606,B,L,M,145,155,10:10,11:00,M  W  F   ,FLEMIN,101,Holly,3
ANTH,021,D2: Human Cultures,11602,Z1,L,C,2,2,15:30,16:45, T  R    ,WILLMS,301,Smith,3
ANTH,021,D2: Human Cultures,11607,Z2,L,C,5,5,10:10,11:00,M  W  F   ,FLEMIN,101,Holly,3
ANTH,021,D2: Human Cultures,11746,Z3,L,C,30,32,18:00,21:00,   R    ,LAFAYE,L102,Torsch,3
ANTH,024,D2: Prehistoric Archaeology,11603,A,L,M,145,95,08:00,08:50,M  W  F   ,WILLMS,301,Wesson,3
ANTH,024,D2: Prehistoric Archaeology,11605,Z1,L,C,5,1,08:00,08:50,M  W  F   ,WILLMS,301,Wesson,3
ANTH,026,Biological  Anthropology,11608,A,L,M,100,92,15:35,16:25,M  W  F   ,FLEMIN,101,Blom,3
ANTH,028,D2: Linguistic Anthropology,11621,A,L,M,132,133,14:00,15:15, T  R    ,WILLMS,301,Manetta,3
ANTH,028,D2:PBLC: Linguistic Anthro,12991,B,L,M,18,5,14:00,15:15, T  R    ,WILLMS,301,Manetta,3
ANTH,064,D1:Native Americans of Vermont,11756,Z1,L,C,30,29,12:30,13:45, T  R    ,WILLMS,511,Torrence,3
ANTH,064,D1:Native Americans of Vermont,13293,Z2,L,C,24,8,14:00,15:15, T  R    ,LAFAYE,L400,Torrence,3
ANTH,096,Anthropology of Cuba,11623,A,L,M,45,30,09:05,09:55,M  W  F   ,BLLNGS,MLK,Eastman,3
ANTH,096,Middle East Ethnography,11628,B,L,M,50,45,12:30,13:45, T  R    ,STAFFO,101,Smith,3
ANTH,096,Topics in Middle East Etnogrph,13301,C,L,M,1,1,12:30,13:45, T  R    ,,,Smith,1
ANTH,096,Anthropology at Work,11749,WQ1,L,C,20,15,TBA,,       ,ONLINE,SEE NOTES,Smith,1
ANTH,096,Anthropology at Work,13221,WQ2,L,C,20,6,TBA,,       ,ONLINE,SEE NOTES,Smith,1
ANTH,096,Anthropology of Cuba,11627,Z1,L,C,5,2,09:05,09:55,M  W  F   ,BLLNGS,MLK,Eastman,3
ANTH,160,D1: North American Indians,11631,A,L,M,99,86,09:30,10:45, T  R    ,ANGELL,B112,Gilley,3
ANTH,160,D1: North American Indians,11632,Z1,L,C,1,1,09:30,10:45, T  R    ,ANGELL,B112,Gilley,3
ANTH,169,D1: Latinos in the US,11757,Z1,L,C,30,29,17:00,18:15, T  R    ,KALKIN,001,Ziegler-Ot,3
ANTH,174,Culture  Health and Healing,11633,A,L,M,115,110,14:30,15:20,M  W  F   ,WILLMS,301,Shea,3
ANTH,174,PBLC:Culture  Health&Healing,12990,B,L,M,10,0,14:30,15:20,M  W  F   ,WILLMS,301,Shea,3
ANTH,179,D2: Environmental Anthropology,11635,A,L,M,30,29,12:20,13:10,M  W  F   ,WILLMS,402,Vivanco,3
ANTH,181,Law  War and Disorder,11636,A,L,M,28,28,11:00,12:15, T  R    ,OMANEX,A202,Gordon,3
ANTH,181,Law  War and Disorder,11637,Z1,L,C,2,2,11:00,12:15, T  R    ,OMANEX,A202,Gordon,3
ANTH,187,D1: Race and Ethnicity,11641,A,L,M,40,34,14:30,15:45,M  W     ,LAFAYE,L111,Nelson,3
ANTH,188,Historical Archaeology,11643,A,L,M,40,33,10:10,11:00,M  W  F   ,VOTEY,209,Wesson,3
ANTH,189,Aging in Cross-Cultural Persp,11759,OL1,L,C,15,14,TBA,,       ,ONLINE,SEE NOTES,Nelson,3
ANTH,196,Human Migration,11644,A,L,M,27,27,14:00,15:15, T  R    ,WILLMS,402,Steinberg,3
ANTH,196,Political Anthropology,11647,B,L,M,27,28,11:15,12:05,M  W  F   ,LAFAYE,L302,Eastman,3
ANTH,196,Archaeology of Amer Southwest,11661,C,L,M,37,33,12:30,13:45, T  R    ,ROWELL,111,Van Keuren,3
ANTH,196,Manifes Cult Thr Arts in Oaxac,12588,MX1,L,C,25,5,TBA,,       ,ABROAD,SEE NOTES,Glesne,3
ANTH,196,Comm Sust&Soc Change in Oaxaca,12593,MX2,L,C,25,7,TBA,,       ,ABROAD,SEE NOTES,Glesne,6
ANTH,196,Anthropological Ethnography,11771,WQ1,L,C,20,8,TBA,,       ,ONLINE,SEE NOTES,Gilley,1
ANTH,196,Human Migration,11646,Z1,L,C,3,1,14:00,15:15, T  R    ,WILLMS,402,Steinberg,3
ANTH,196,Political Anthropology,11650,Z2,L,C,3,1,11:15,12:05,M  W  F   ,LAFAYE,L302,Eastman,3
ANTH,196,Archaeology of Amer Southwest,11663,Z3,L,C,3,0,12:30,13:45, T  R    ,ROWELL,111,Van Keuren,3
ANTH,196,Ancient Cities,11770,Z4,L,C,30,28,18:00,21:00,   R    ,LAFAYE,L111,Knight,3
ANTH,196,Archaeological Illustration,11775,Z6,L,C,15,15,15:35,18:35,  W     ,WILLMS,501,Fawkes,3
ANTH,196,Human Osteology: Forens&Arch,11765,Z7,L,C,15,11,17:30,20:30,M       ,WILLMS,511,Blom,3
ANTH,197,Readings & Research,11698,A,T,M,10,1,TBA,,       ,,,Wesson,1 to 6
ANTH,197,Readings & Research,11701,B,T,M,10,3,TBA,,       ,,,Blom,1 to 6
ANTH,197,Readings & Research,11731,C,T,M,10,1,TBA,,       ,,,Gilley,1 to 6
ANTH,197,Readings & Research,11732,D,T,M,10,1,TBA,,       ,,,Vivanco,1 to 6
ANTH,197,Readings & Research,11733,E,T,M,10,0,TBA,,       ,,,Gordon,1 to 6
ANTH,197,Readings & Research,11734,F,T,M,10,0,TBA,,       ,,,Smith,1 to 6
ANTH,197,Readings & Research,11735,G,T,M,10,1,TBA,,       ,,,Shea,1 to 6
ANTH,197,Readings & Research,11736,H,T,M,10,0,TBA,,       ,,,Crock,1 to 6
ANTH,197,Readings & Research,11737,I,T,M,10,1,TBA,,       ,,,Steinberg,1 to 6
ANTH,197,Readings & Research,11738,J,T,M,10,0,TBA,,       ,,,Van Keuren,1 to 6
ANTH,197,Readings & Research,11739,K,T,M,10,3,TBA,,       ,,,Manetta,1 to 6
ANTH,201,Practicum & Internship,11740,A,I,M,10,0,TBA,,       ,,,Wesson,1 to 12
ANTH,201,Practicum & Internship,13148,MX1,I,C,10,9,TBA,,       ,,,Glesne,1
ANTH,210,Archaeological Theory,11664,A,L,M,25,26,09:30,10:45, T  R    ,WILLMS,511,Van Keuren,3
ANTH,220,Develop & Applied Anthropology,11665,A,L,M,15,13,14:00,15:15, T  R    ,WILLMS,511,Gordon,3
ANTH,220,PBLC: Develop&Applied Anthro,12994,B,L,M,10,8,14:00,15:15, T  R    ,WILLMS,511,Gordon,3
ANTH,225,Anthropological Theory,11666,A,L,M,28,27,13:25,14:15,M  W  F   ,PERKIN,300,Eastman,3
ANTH,283,Colonialism,11669,A,L,M,25,24,15:30,16:45, T  R    ,WILLMS,511,Ziegler-Ot,3
ANTH,296,Street Children,11670,A,L,M,25,27,11:00,12:15, T  R    ,WILLMS,511,Steinberg,3
ANTH,297,Advanced Readings & Research,11741,A,T,M,10,0,TBA,,       ,,,Wesson,1 to 3
ARTH,006,Western Art:Renaissance-Modern,11910,A,L,M,130,129,09:30,10:45, T  R    ,FLEMIN,101,Kim,3
ARTH,008,D2: Asian Art,11911,A,L,M,130,121,11:15,12:05,M  W  F   ,WILLMS,301,Seyller,3
ARTH,140,Hist of Optical Media as Art,11912,A,L,M,30,31,15:30,16:45, T  R    ,WILLMS,402,Lyman,3
ARTH,170,Art Addressing the Holocaust,12425,Z1,L,C,25,12,16:40,19:10,  W     ,WILLMS,402,Stone,3
ARTH,174,20th-Century Art,11913,A,L,M,30,25,11:15,12:05,M  W  F   ,WILLMS,402,Thompson,3
ARTH,190,Internship: Art History,13214,A,I,M,15,1,17:00,19:00,  W     ,WILLMS,301,McDowell,3
ARTH,192,Islamic Art,11914,A,L,M,30,28,09:05,09:55,M  W  F   ,WILLMS,402,Seyller,3
ARTH,196,The Art of Florence,11923,A,L,M,30,28,11:00,12:15, T  R    ,WILLMS,402,Helmstutle,3
ARTH,196,15th Cent Ital Art & Architect,11924,B,L,M,30,28,12:30,13:45, T  R    ,WILLMS,402,Helmstutle,3
ARTH,196,19th Century American Art,11925,C,L,M,30,19,15:30,16:45, T  R    ,ROWELL,110,Kim,3
ARTH,196,19th Century European Art,11931,D,L,M,30,20,17:00,18:15, T  R    ,ROWELL,244,Kim,3
ARTH,196,D1:Latn Lovers:Latinos in Film,11932,E,L,M,23,17,09:30,10:45, T  R    ,WILLMS,402,Katzew,3
ARTH,196,PBLC:Lat Lovers:Latinos & Film,12997,F,L,M,7,7,09:30,10:45, T  R    ,WILLMS,402,Katzew,3
ARTH,196,Pottery Rsch at the Fleming,13357,G,L,M,1,1,TBA,,       ,,,McDowell,2
ARTH,196,Manifes Cult th Arts in Oaxaca,12642,MX1,L,C,25,4,TBA,,       ,OFFCMP,SEE NOTES,Glesne,3
ARTH,198,Readings & Research,13215,A,T,M,15,0,17:00,19:00,  W     ,WILLMS,301,McDowell,3
ARTH,282,Multiculturalism & Contmp Art,11937,A,L,M,15,6,13:25,16:10,  W     ,WILLMS,418,Thompson,3
ARTS,001,Drawing,10164,A,O,M,18,19,14:30,16:20,M  W     ,WILLMS,416,Davis,3
ARTS,001,Drawing,10173,B,O,M,18,20,10:10,12:00, T  R    ,WILLMS,416,Campbell,3
ARTS,001,Drawing,10174,C,O,M,18,19,12:30,14:20, T  R    ,WILLMS,416,McDevitt,3
ARTS,001,Drawing,10175,D,O,M,18,15,08:00,09:50,  W  F   ,WILLMS,416,Warren,3
ARTS,001,Drawing,12495,Z1,O,C,18,18,16:40,20:30,  W     ,WILLMS,416,Dye,3
ARTS,001,Drawing,10212,Z2,O,C,15,20,12:20,14:10,M  W     ,WILLMS,416,McDevitt,3
ARTS,001,Drawing,10213,Z3,O,C,15,16,08:00,09:50, T  R    ,WILLMS,416,Campbell,3
ARTS,002,Two-Dimensional Studies,10196,A,O,M,18,16,08:00,09:50,M  W     ,WILLMS,305,Haggart,3
ARTS,002,Two-Dimensional Studies,10197,B,O,M,18,19,12:20,14:10,M  W     ,WILLMS,305,Davis,3
ARTS,002,Two-Dimensional Studies,10198,D,O,M,18,16,08:00,09:50, T  R    ,WILLMS,305,Dye,3
ARTS,002,Two-Dimensional Studies,10229,E,O,M,18,19,11:00,12:50, T  R    ,WILLMS,305,Dye,3
ARTS,002,Two-Dimensional Studies,10221,Z1,O,C,15,14,14:30,16:20,M  W     ,WILLMS,305,Stone,3
ARTS,002,Two-Dimensional Studies,10234,Z2,O,C,15,15,14:00,15:50, T  R    ,WILLMS,305,Dye,3
ARTS,002,Two-Dimensional Studies,12506,Z3,O,C,18,18,17:00,20:50, T      ,WILLMS,305,Davis,3
ARTS,003,Three-Dimensional Studies,10236,B,O,M,14,14,14:30,16:20,M  W     ,WILLMS,207,McDevitt,3
ARTS,003,Three-Dimensional Studies,10235,Z1,O,C,15,15,12:20,14:10,M  W     ,WILLMS,207,Haggart,3
ARTS,003,Three-Dimensional Studies,10238,Z2,O,C,15,13,10:10,12:00,  W  F   ,WILLMS,207,Warren,3
ARTS,003,Three-Dimensional Studies,12517,Z3,O,C,15,17,17:00,20:50, T      ,WILLMS,207,Haggart,3
ARTS,003,Three-Dimensional Studies,12522,Z4,O,C,14,16,15:35,19:25,  W     ,WILLMS,206,Warren,3
ARTS,003,Three-Dimensional Studies,12541,Z5,O,C,14,14,16:40,20:30,M       ,WILLMS,207,McDevitt,3
ARTS,004,Intro to Film/Video Production,10244,A,O,M,14,16,10:10,12:00,  W  F   ,LAFAYE,L308,Lyman,3
ARTS,095,Fundamentals of Lighting,13058,A,O,M,16,0,11:00,12:15, T  R    ,RT THR,110,Forbes,4
ARTS,095,Jewelry Perspectives,12542,Z1,O,C,12,13,17:00,20:50, T      ,WILLMS,202,Peters,3
ARTS,095,Jewelry Perspectives,13232,Z2,O,C,12,12,17:00,21:00,M       ,WILLMS,202,Peters,3
ARTS,113,Clay: Hand Building,10245,A,O,M,18,20,14:30,16:20,M  W     ,WILLMS,106,Carter,3
ARTS,113,Clay: Hand Building,12469,Z1,O,C,18,19,17:00,20:50,  W     ,WILLMS,106,Carter,3
ARTS,114,Clay: Wheel Throwing,10246,A,O,M,16,18,09:05,10:55,M  W     ,WILLMS,106,Carter,3
ARTS,114,Clay: Wheel Throwing,10248,B,O,M,16,16,09:30,11:20, T  R    ,WILLMS,106,Barringer,3
ARTS,114,Clay: Wheel Throwing,12476,Z1,O,C,16,16,17:00,20:50,   R    ,WILLMS,106,Barringer,3
ARTS,116,Drawing From the Figure,10252,A,O,M,18,22,10:10,12:00,M  W     ,WILLMS,416,Campbell,3
ARTS,121,Painting,10253,A,O,M,15,18,10:10,12:00,M  W     ,WILLMS,213,Owen,3
ARTS,121,Painting,10254,B,O,M,15,15,08:00,09:50, T  R    ,WILLMS,213,Davis,3
ARTS,121,Painting,10255,C,O,M,15,14,11:00,12:50, T  R    ,WILLMS,213,Budington,3
ARTS,131,Printmaking: Etching,10257,A,O,M,16,18,12:30,14:20, T  R    ,WILLMS,309,Kent,3
ARTS,132,Printmaking: Silkscreen,10259,A,O,M,16,17,12:30,16:30,  W     ,WILLMS,309,Kent,3
ARTS,137,Photography,10261,A,O,M,14,10,09:00,10:50, T  R    ,WILLMS,415,Krajnak,3
ARTS,137,Photography,10628,B,O,M,14,12,15:30,17:20, T  R    ,WILLMS,415,Krajnak,3
ARTS,138,Color Photography,10629,A,O,M,14,12,11:15,13:05,M  W     ,WILLMS,415,Brennan,3
ARTS,138,Color Photography,13207,B,O,M,14,13,14:30,16:20,M  W     ,WILLMS,415,Brennan,3
ARTS,141,Sculpture,10633,A,O,M,14,14,09:30,11:20, T  R    ,WILLMS,206,Schneider,3
ARTS,141,Sculpture,10634,B,O,M,14,15,12:30,14:20, T  R    ,WILLMS,206,Schneider,3
ARTS,143,Intermed Film/Video Production,10664,A,O,M,14,14,14:30,16:20,  W  F   ,LAFAYE,L308,Lyman,3
ARTS,144,Digital Art,10665,A,O,M,15,16,10:10,12:00,M  W     ,WATERM,113T,Marmor,3
ARTS,144,Digital Art,10666,B,O,M,15,17,12:20,14:10,M  W     ,WATERM,113T,Marmor,3
ARTS,145,Graphic Design,10669,A,O,M,15,15,10:10,12:00,M  W     ,WILLMS,305,McIntyre,3
ARTS,191,Internship: Field Experience,10670,A,I,M,15,3,17:00,19:00,  W     ,WILLMS,301,McDowell,3
ARTS,195,Digital Imaging,10671,A,O,M,14,14,12:30,14:20, T  R    ,WILLMS,415,Krajnak,3
ARTS,195,Drawing and Visual Thinking,10672,B,O,M,14,15,15:30,17:20, T  R    ,WILLMS,416,Kent,3
