 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
AGBI,191,Biochemistry of Nucleic Acids,10717,A,L,M,999,7,09:30,10:20, T  R    ,CARRIG,011,Weller,2  
AGBI,195,Special Topics,10723,A,L,M,999,1,TBA,,       ,,,Staff,1 to 3
AGBI,195,Student Teaching Lab,10724,B,B,M,999,0,TBA,,       ,HILLS,128,Staff,1 to 3
AGBI,198,Undergraduate Research,10725,A,B,M,999,1,TBA,,       ,,,Barrington,1 to 3
AGBI,202,General Biochemistry Lab,10726,A,B,M,14,10,13:25,16:25,  W     ,HILLS,128,Weller,1  
AGBI,202,General Biochemistry Lab,10728,B,B,M,14,13,13:10,16:00,   R    ,HILLS,128,Staff,1  
AGBI,295,Special Topics,10733,A,B,M,10,0,TBA,,       ,HILLS,,Staff,1 to 12
AGBI,301,Special Problems,10734,A,B,M,5,0,TBA,,       ,HILLS,,Staff,1 to 3
AGBI,381,Biochemistry Seminar,10735,A,L,M,5,0,12:20,13:10,M       ,HILLS,100,Barrington,1  
AGBI,391,Master's Thesis Research,10736,A,T,M,5,0,TBA,,       ,HILLS,,Staff,1 to 18
AGBI,491,Doctoral Dissertation Research,10737,A,T,M,5,0,TBA,,       ,HILLS,,Staff,1 to 12
AGRI,095,Introductory Special Topics,10506,A,L,M,20,19,15:35,18:35,M       ,WATERM,457,Staff,1 to 3
AGRI,095,Introductory Special Topics,10507,B,L,M,20,18,15:35,18:35,M       ,LAFAYE,L100,Burrell,1 to 3
AGRI,095,Introductory Special Topics,10510,C,L,M,20,24,15:30,18:15, T      ,KALKIN,101,Brown,1 to 3
AGRI,095,Introductory Special Topics,10511,D,L,M,20,20,15:30,18:15, T      ,L/L-D,D107,Walker,1 to 3
AGRI,095,Introductory Special Topics,10512,E,L,M,20,20,18:30,21:30, T      ,OMANEX,A206,Alzona,1 to 3
AGRI,095,Introductory Special Topics,10514,F,L,M,20,21,15:35,18:35,  W     ,LAFAYE,L100,Staff,1 to 3
AGRI,095,Introductory Special Topics,10515,G,L,M,20,20,15:35,18:35,  W     ,WATERM,427,Lang,1 to 3
AGRI,095,Introductory Special Topics,10516,H,L,M,20,8,15:30,18:15,  W     ,OMANEX,A206,Diouf,1 to 3
AGRI,196,Special Topics,12678,A,L,M,999,3,TBA,,       ,,,Foss,0 to 12
AH,095,Race & Culture,10517,A,L,M,5,5,15:35,18:35,M       ,WATERM,457,Staff,1
AH,095,Race & Culture,10519,B,L,M,5,4,15:35,18:35,M       ,LAFAYE,L100,Staff,1
AH,095,Race & Culture,10522,C,L,M,5,4,15:30,18:15, T      ,KALKIN,101,Brown,1
AH,095,Race & Culture,10525,D,L,M,0,0,15:30,18:15, T      ,L/L-D,D107,Walker,1
AH,095,Race & Culture,10537,E,L,M,5,2,18:30,21:30, T      ,OMANEX,A206,Alzona,1
AH,095,Race & Culture,10539,F,L,M,5,4,15:35,18:35,  W     ,LAFAYE,L100,Staff,1
AH,095,Race & Culture,10545,G,L,M,5,4,15:35,18:35,  W     ,WATERM,427,Lang,1
AH,095,Race & Culture,10549,H,L,M,0,1,15:30,18:15,  W     ,OMANEX,A206,Diouf,1
AH,096,Race & Culture,10635,A,L,M,25,4,12:30,15:30, T      ,L/L-B,B102,Glesne,1
AH,096,Race & Culture,10636,B,L,M,25,6,15:30,18:30,   R    ,WATERM,456,Fishman,1
AH,096,Race & Culture,10637,C,L,M,25,11,15:30,18:15, T      ,ROWELL,118,Winstead-F,1
AH,096,Race & Culture,10638,D,L,M,25,12,15:35,18:35,  W     ,WATERM,540,Lang,1
AH,096,Race & Culture,12466,E,L,M,25,6,15:30,18:15, T      ,L/L-D,D107,Walker,1
AH,096,Race & Culture,12641,F,L,M,25,0,15:30,18:15,   R    ,L/L CM,306,Diouf,1
AH,115,Women's Health & Advocacy,12721,WD,L,C,999,1,15:30,18:15,       ,,,,2  
AH,115,Women's Health & Advocacy,10619,Z1,L,C,20,26,15:00,17:00,  W     ,ROWELL,110,Maartmann-,2  
ALAN,055,Racism and American Culture,11652,A,L,M,20,21,10:10,11:00,M  W  F   ,TERRIL,222,Coleman,3  
ALAN,055,Racism and American Culture,11653,B,L,M,20,21,11:15,12:05,M  W  F   ,TERRIL,222,Coleman,3  
ALAN,096,TAP: US Peoples of Color,11656,A,L,M,20,4,13:25,16:25,M       ,LAFAYE,L307,Grinde Jr.,3  
ALAN,096,Religion & Race in America,12396,Z1,L,C,18,3,18:00,20:30,  W     ,L/L-B,B102,Walker,3  
ALAN,159,African American Cultural Imag,11661,A,L,M,15,14,13:25,14:15,M  W  F   ,LAFAYE,L403,Coleman,3  
ALAN,196,Native American Thought,11665,A,L,M,15,14,11:00,12:15, T  R    ,HILLS,234,Grinde Jr.,3  
ALAN,277,Religion Ethnicity&Soc Theory,11666,A,L,M,16,5,15:30,18:00,   R    ,481 MN,104,Walker,3  
ANNB,198,Undergraduate Research,10129,A,T,M,999,1,TBA,,       ,,,Staff,3 to 6
ANNB,296,Neurobiology,12603,A,L,M,20,1,10:10,11:00,M  W  F   ,ML SCI,105,Murakami,3
ANNB,302,Neuroscience,10132,A,L,M,999,1,TBA,,       ,GIVN E,E210,Forehand,4
ANNB,306,Techniques in Neurobiology,10135,A,L,M,999,1,TBA,,       ,,,Braas,3  
ANNB,320,Developmental Neurobiology,12602,A,L,M,999,1,TBA,,       ,,,Forehand,1 to 10
ANNB,342,Spec Dissections in Gross Anat,10138,A,B,M,999,0,TBA,,       ,,,Powers,1 to 12
ANNB,382,Sem in Anatomy & Neurobiology,10140,A,L,M,999,2,TBA,,       ,,,Mawe,1  
ANNB,491,Doctoral Dissertation Research,10141,A,T,M,999,1,TBA,,       ,,,Staff,1 to 18
ANPS,020,Ugr Hum Anatomy & Physiology,10112,A,L,M,0,171,12:20,13:10,M  W  F   ,GIVN E,E131,Szilva,4
ANPS,020,Ugr Hum Anatomy & Physiology,10113,A1,B,M,0,21,09:05,11:55,M       ,ROWELL,111,Szilva,0
ANPS,020,Ugr Hum Anatomy & Physiology,10114,B1,B,M,0,27,14:00,16:50, T      ,ROWELL,111,Szilva,0
ANPS,020,Ugr Hum Anatomy & Physiology,10115,C1,B,M,0,29,18:30,21:20, T      ,ROWELL,111,Szilva,0
ANPS,020,Ugr Hum Anatomy & Physiology,10117,D1,B,M,0,7,09:05,11:55,  W     ,ROWELL,111,Szilva,0
ANPS,020,Ugr Hum Anatomy & Physiology,10119,E1,B,M,0,33,14:30,17:20,  W     ,ROWELL,111,Szilva,0
